risklevel_id,name,label,definition,ordinal,source_document
RL_LEAST,Least,Least Inherent Risk,"An institution with a Least Inherent Risk Profile generally has very limited use of technology. It has few computers, applications, systems, and no connections. The variety of products and services are limited. The institution has a small geographic footprint and few employees.",1,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
RL_MINIMAL,Minimal,Minimal Inherent Risk,An institution with a Minimal Inherent Risk Profile generally has limited complexity in terms of the technology it uses. It offers a limited variety of less risky products and services. The institution’s mission-critical systems are outsourced. The institution primarily uses established technologies. It maintains a few types of connections to customers and third parties with limited complexity.,2,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
RL_MODERATE,Moderate,Moderate Inherent Risk,An institution with a Moderate Inherent Risk Profile generally uses technology that may be somewhat complex in terms of volume and sophistication. The institution may outsource mission-critical systems and applications and may support elements internally. There is a greater variety of products and services offered through diverse channels.,3,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
RL_SIGNIFICANT,Significant,Significant Inherent Risk,An institution with a Significant Inherent Risk Profile generally uses complex technology in terms of scope and sophistication. The institution offers high-risk products and services that may include emerging technologies. The institution may host a significant number of applications internally. The institution allows either a large number of personal devices or a large variety of device types. The institution maintains a substantial number of connections to customers and third parties. A variety of payment services are offered directly rather than through a third party and may reflect a significant level of transaction volume.,4,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
RL_MOST,Most,Most Inherent Risk,"An institution with a Most Inherent Risk Profile uses extremely complex technologies to deliver myriad products and services. Many of the products and services are at the highest level of risk, including those offered to other organizations. New and emerging technologies are utilized across multiple delivery channels. The institution may outsource some mission-critical systems or applications, but many are hosted internally. The institution maintains a large number of connection types to transfer data with customers and third parties.",5,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
