risklevelstatement_id,riskactivity_id,activity_service_or_product,category_name,risk_level,text,source_document
CAT_Technologies_and_Connection_Types_A01_LEAST,CAT_Technologies_and_Connection_Types_A01,Total number of Internet service provider (ISP) connections (including branch connections),Technologies and Connection Types,Least,No connections,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A01_MINIMAL,CAT_Technologies_and_Connection_Types_A01,Total number of Internet service provider (ISP) connections (including branch connections),Technologies and Connection Types,Minimal,Minimal complexity (1–20 connections),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A01_MODERATE,CAT_Technologies_and_Connection_Types_A01,Total number of Internet service provider (ISP) connections (including branch connections),Technologies and Connection Types,Moderate,Moderate complexity Significant (21–100 connections),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A01_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A01,Total number of Internet service provider (ISP) connections (including branch connections),Technologies and Connection Types,Significant,complexity (101–200 connections),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A01_MOST,CAT_Technologies_and_Connection_Types_A01,Total number of Internet service provider (ISP) connections (including branch connections),Technologies and Connection Types,Most,Substantial complexity (>200 connections),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A02_LEAST,CAT_Technologies_and_Connection_Types_A02,"Unsecured external connections, number of connections not users (e.g., file transfer protocol (FTP), Telnet, rlogin)",Technologies and Connection Types,Least,None,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A02_MINIMAL,CAT_Technologies_and_Connection_Types_A02,"Unsecured external connections, number of connections not users (e.g., file transfer protocol (FTP), Telnet, rlogin)",Technologies and Connection Types,Minimal,Few instances of unsecured connections (1–5),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A02_MODERATE,CAT_Technologies_and_Connection_Types_A02,"Unsecured external connections, number of connections not users (e.g., file transfer protocol (FTP), Telnet, rlogin)",Technologies and Connection Types,Moderate,Several instances of unsecured connections (6–10),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A02_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A02,"Unsecured external connections, number of connections not users (e.g., file transfer protocol (FTP), Telnet, rlogin)",Technologies and Connection Types,Significant,Significant instances of unsecured connections (11–25),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A02_MOST,CAT_Technologies_and_Connection_Types_A02,"Unsecured external connections, number of connections not users (e.g., file transfer protocol (FTP), Telnet, rlogin)",Technologies and Connection Types,Most,Substantial instances of unsecured connections (>25),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A03_LEAST,CAT_Technologies_and_Connection_Types_A03,Wireless network access,Technologies and Connection Types,Least,No wireless access,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A03_MINIMAL,CAT_Technologies_and_Connection_Types_A03,Wireless network access,Technologies and Connection Types,Minimal,Separate access points for guest wireless and corporate wireless,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A03_MODERATE,CAT_Technologies_and_Connection_Types_A03,Wireless network access,Technologies and Connection Types,Moderate,Guest and corporate wireless network access are logically separated; limited number of users and access points (1–250 users; 1–25 access points),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A03_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A03,Wireless network access,Technologies and Connection Types,Significant,"Wireless corporate network access; significant number of users and access points (251–1,000 users; 26–100 access points)",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A03_MOST,CAT_Technologies_and_Connection_Types_A03,Wireless network access,Technologies and Connection Types,Most,"Wireless corporate network access; all employees have access; substantial number of access points (>1,000 users; >100 access points)",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A04_LEAST,CAT_Technologies_and_Connection_Types_A04,Personal devices allowed to connect to the corporate network,Technologies and Connection Types,Least,None,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
