part_id,numeral,heading,order,source_document
PART_I,I,INTRODUCTION,1,KB 2/USA/Customer Proprietary Network Information Rules.pdf
PART_II,II,BACKGROUND,2,KB 2/USA/Customer Proprietary Network Information Rules.pdf
PART_III,III,EFFECT OF THE U S WEST DECISION ON THE CPNI RULES,3,KB 2/USA/Customer Proprietary Network Information Rules.pdf
PART_IV,IV,FURTHER NOTICE OF PROPOSED RULEMAKING,4,KB 2/USA/Customer Proprietary Network Information Rules.pdf
PART_V,V,PROCEDURAL MATTERS,5,KB 2/USA/Customer Proprietary Network Information Rules.pdf
PART_XI,XI,ORDERING CLAUSES,6,KB 2/USA/Customer Proprietary Network Information Rules.pdf
