footnote_id,scope,number,text,source_document
FN_01,order,1,"U S WEST, Inc. v. FCC, 182 F.3d 1224 (10th Cir. 1999), cert. denied, 120 S. Ct. 2215 (Jun. 5, 2000) (No. 99-1427) (U S WEST v. FCC).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_02,order,2,"Implementation of the Telecommunications Act of 1996: Telecommunications Carriers’ Use of Customer Proprietary Network Information and Other Customer Information and Implementation of the Non-Accounting Safeguards of Sections 271 and 272 of the Communications Act of 1934, as amended, CC Docket Nos. 96-115 and 96-149, Order and Further Notice of Proposed Rulemaking, 13 FCC Rcd 8061 (1998) (CPNI Order). The Commission also released a Further Notice of Proposed Rulemaking on February 26, 1998 seeking comment on three general issues that principally involve carrier duties and obligations established under Sections 222(a) and (b) of the Act. CPNI Order, 13 FCC Rcd at 8200-04, paras. 203-10. This Further Notice remains pending.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_03,order,3,"CPNI Order, 13 FCC Rcd at 8064, para. 2.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_04,order,4,"AT&T v. FCC, No. 99-1413 (D.C. Cir. July 25, 2000).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_05,order,5,"Implementation of the Telecommunications Act of 1996: Telecommunications Carriers' Use of Customer Proprietary Network Information and Other Customer Information, Notice of Proposed Rulemaking, CC Docket No. 96-115, 11 FCC Rcd 12513 (1996) (NPRM).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_06,order,6,"CPNI Order, 13 FCC Rcd 8065, para. 3 (citing the Joint statement of Mangers, S. Conf. Rep. No. 104-230, 104th Cong., 2d Sess., 1 (1996).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_07,order,7,"CPNI Order, 13 FCC Rcd at 8066, para. 3 (“Indeed, in provisions governing use of aggregate customer and subscriber list information, Sections 222(c)(3) and 222(e) respectively, where privacy of sensitive information is by definition not at stake, Congress expressly required carriers to provide such information to third parties on nondiscriminatory terms and conditions.”).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_08,order,8,"CPNI Order, 13 FCC Rcd at 8080, 8083-84, 8087-88, paras. 23-24, 30, 35.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_09,order,9,"Id. at 8127-45, paras. 86–107; see also U S WEST v. FCC, 182 F.3d at 1230. This approach is distinguished from an “opt-out” or negative option approach “in which approval would be inferred from the customer-carrier relationship unless the customer specifically requested that his or her CPNI be restricted.” U S WEST v. FCC, 182 F.3d at 1230.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_10,order,10,"Implementation of the Telecommunications Act of 1996: Telecommunications Carriers' Use of Customer Proprietary Network Information and Other Customer Information and Implementation of the Non-Accounting Safeguards of Sections 271 and 272 of the Communications Act of 1934, as amended, CC Docket Nos. 96-115 and 96-149, Order on Reconsideration and Petitions for Forbearance, 14 FCC Rcd 14409 (1999) (CPNI Reconsideration Order.). On November 1, 1999, MCI Communications Corp. filed a Petition for Further Reconsideration. We will address MCI’s Petition in a separate order.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_11,order,11,"CPNI Reconsideration Order, 14 FCC Rcd at 14464, paras. 109-110. In particular, the Order expanded Section 64.2005 of the Commission’s rules, 47 C.F.R. § 64.2005, which codifies the total service approach, to include customer premises equipment and some information services.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_12,order,12,"Only one carrier, Omnipoint Communications, Inc., requested that we reconsider that the Commission “opt-in” approach, and limited its request to CMRS carriers only. CPNI Reconsideration Order, 14 FCC Rcd at 14463-64, paras. 107-08. The Commission denied Omnipoint’s request and declined to reconsider its original finding that “the requirement of affirmative consent is consistent with Congressional intent, as well as principles of customer control and convenience.” Id.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_13,order,13,"U S WEST v. FCC, 182 F.3d at 1240.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_14,order,14,Id. at 1231.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_15,order,15,"See Chevron USA Inc. v. Natural Resources Defense Council, Inc., 467 U.S. 837 (1984) (Chevron).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_16,order,16,447 U.S. 557 (1980) (Central Hudson).,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_17,order,17,"See U S WEST v. FCC, 182 F.3d at 1233-34 (citing Central Hudson, 447 U.S. at 564-66).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_18,order,18,"U S West v. FCC, 182 F.3d at 1235-37.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_19,order,19,Id.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_20,order,20,Id. at 1238-39.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_21,order,21,"Id. at 1240, n. 15 (“The dissent accuses us of ‘advocating’ an opt-out approach. We do not ‘advocate’ any specific approach.”).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_22,order,22,"See AT&T Corp., v. New York Telephone Company, d/b/a Bell Atlantic – New York, File No. EB-00- MD-011, Memorandum Opinion and Order, FCC 00-362, para. 17 (rel. Oct. 6, 2000) (AT&T v. Bell Atlantic Order) (concluding, in the context of a formal complaint regarding certain CPNI issues, that “when read in context, the [Tenth Circuit’s] vacatur order related only to the discrete portions of the order and rules that were before the court in light of the parties’ petitions for review and addressed by the court.”).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_23,order,23,"47 C.F.R. § 64.2007(c). This provision, pertaining to “oral approval,” would be superfluous under an opt-out regime. In contrast, the remaining provisions of Section 64.2007 address primarily consumer notification requirements that are applicable under any approval regime.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_24,order,24,"47 C.F.R. § 64.2007(f). Subsequent references to ""Section 64.2007"" shall mean that section of our rules.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_25,order,25,"CPNI Order, 13 FCC Rcd at 8161-63, paras. 135-38; CPNI Reconsideration Order, 14 FCC Rcd at 14464, para. 109",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_26,order,26,"CPNI Order, 13 FCC Rcd at 8151, para. 116.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_27,order,27,"See CPNI Reconsideration Order, 14 FCC Rcd at 14420-48, paras. 16-74.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_28,order,28,"CPNI Order, 13 FCC Rcd at 8073, para. 14.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_29,order,29,Id.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_30,order,30,"Section 222(c)(1) states, Except as required by law or with the approval of the customer, a telecommunications carrier that receives or obtains customer proprietary network information by virtue of its provision of a telecommunication service shall only use, disclose, or permit access to individually identifiable customer proprietary network information in its provision of (A) the telecommunications service from which such information is derived, or (B) services necessary to, or used in, the provision of such telecommunications service, including the publishing of directories.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_31,order,31,"CPNI Order, 13 FCC Rcd at 8128, para. 87.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_32,order,32,"Id. at 8130-45, paras. 91-107.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_33,order,33,"Id. at 8100, para. 51.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_34,order,34,"Id. at 8134, para. 95.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_35,order,35,"U S West v. FCC, 182 F.3d at 1238-39.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_36,order,36,"See Gramm-Leach-Bliley Act, Title V, Pub. L. No. 106-102, 113 Stat. 1338 (1999) (requires certain federal agencies to adopt rules implementing notice requirements and restrictions on the ability of financial institutions to disclose nonpublic personal information about consumers to nonaffiliated third parties. The rules promulgated pursuant to the Act also describe conditions under which a financial institution may disclose nonpublic information about a consumer and provide a method for a consumer to opt-out of the disclosure of that information. See, e.g. 17 CFR Part 160; 66 FR 21236 (Apr. 27, 2001) (final implementing rules adopted by the Commodity Futures Trading Commission)), and 65 FR 82462 (Dec. 28, 2000) (announcing final rule, promulgated pursuant to the Health Insurance Portability and Accountability Act of 1996, Pub. L. No. 104-191, that establishes standards to protect the privacy of individually identifiable health information. The rule requires, in most instances, that health care providers who have a direct treatment relationship with their patients obtain affirmative opt-in consent of their patients in order to use and disclose protected health information for treatment, payment and health care operations).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_37,order,37,"CPNI Order, 13 FCC Rcd at 8065-66, para. 3.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_38,order,38,"U S WEST v. FCC, 182 F.3d at 1234 (emphasis added).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_39,order,39,Id. at 1235.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_40,order,40,Id.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_41,order,41,Id. at 1236-37.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_42,order,42,Id. at 1235.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_43,order,43,Id. at 1236-37.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_44,order,44,Id. at 1237.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_45,order,45,Id..,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_46,order,46,Id. at 1238-39.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
