deadline_id,label,period,text,stated_in,source_document
DL_COMMENT,Comment Date,30 days after publication in the Federal Register,Comment Date: 30 days after publication in the Federal Register,FCC_01_247,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DL_REPLY,Reply Comment Date,45 days after publication in the Federal Register,Reply Comment Date: 45 days after publication in the Federal Register,FCC_01_247,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DL_SAFE_HARBOR,Opt-out safe harbor period,30 days from customer receipt of notice,"Pending resolution of the FNPRM, we will use a 30-day period from customer receipt of notice as a “safe harbor,” but may permit some shorter period if supported by an adequate explanation from the carrier.",P011,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DL_OPT_OUT_30,Opt-out response period proposed for comment,at least 30 days from receipt of the written notice,"Another approach would be to adopt an opt-out method of approval under which a carrier would be required to provide written notification to the customer of his or her CPNI rights, and then afford the customer at least 30 days from receipt of the written notice to opt-out before it may use the CPNI in the manner requested under the notification.",P023,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DL_OMB_60,OMB comment deadline on information collections,60 days from the date of publication of notice in the Federal Register,Public and agency comments are due at the same time as other comments on this Notice; OMB comments are due 60 days from the date of publication of notice of this Notice in the Federal Register.,P029,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DL_FILING_30_45,Comment and reply comment filing deadlines,30 days / 45 days after publication in the Federal Register,"Pursuant to applicable procedures set forth in Sections 1.415 and 1.419 of the Commission's rules, interested parties may file comments on or before 30 days after publication in the Federal Register, and reply comments on or before 45 days after publication in the Federal Register.",P030,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DL_EFFECTIVE,Effective date of the Order,30 days after publication of a summary in the Federal Register,The requirements of this Order shall become effective 30 days after publication of a summary thereof in the Federal Register.,OC_36,KB 2/USA/Customer Proprietary Network Information Rules.pdf
