external_reference_id,citation,reference_type,title,quoted_text_in_document,source_document
XR_USC_222,47 U.S.C. § 222,statute,"Section 222 of the Communications Act of 1934, as amended","Every telecommunications carrier has a duty to protect the confidentiality of proprietary information of, and relating to . . . customers.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_USC_222_c_1,47 U.S.C. § 222(c)(1),statute,Section 222(c)(1),"Except as required by law or with the approval of the customer, a telecommunications carrier that receives or obtains customer proprietary network information by virtue of its provision of a telecommunication service shall only use, disclose, or permit access to individually identifiable customer proprietary network information in its provision of (A) the telecommunications service from which such information is derived, or (B) services necessary to, or used in, the provision of such telecommunications service, including the publishing of directories.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_USC_222_f,New 47 U.S.C. § 222(f),statute,Section 222(f),"[f]or the purposes of [Section 222](c)(1), without the express prior authorization of the customer, a customer shall not be considered to have approved the use or disclosure of or access to",KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_USC_222_h_1_A,Revised 47 U.S.C. § 222(h)(1)(A),statute,"Definition of CPNI, as amended by the 911 Act",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_USC_222_d_4,47 U.S.C. § 222(d)(4),statute,Section 222(d)(4),,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_USC_151,47 U.S.C. §§ 151,statute,"Section 1 of the Communications Act of 1934, as amended",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_USC_154i,47 U.S.C. § 154(i),statute,"Section 4(i) of the Communications Act of 1934, as amended",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_USC_303r,47 U.S.C. § 303(r),statute,"Section 303(r) of the Communications Act of 1934, as amended",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_USC_272_c_1,Section 272(c)(1),statute,Section 272(c)(1) of the Communications Act,"may not discriminate between the company or affiliate and any other entity in the provision or procurement of goods, services, facilities, and information, or in the establishment of standards...",KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_64_2005,47 C.F.R. § 64.2005,regulation,"Section 64.2005 of the Commission’s rules, which codifies the total service approach",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_64_2005_b_1,47 C.F.R. § 64.2005(b)(1),regulation,,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_64_2007,47 C.F.R. § 64.2007,regulation,Section 64.2007 (customer notification requirements),,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_64_2007_c,47 C.F.R. § 64.2007(c),regulation,"Section 64.2007(c), pertaining to “oral approval” — the provision vacated by the Tenth Circuit",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_64_2007_f,47 C.F.R. § 64.2007(f),regulation,Section 64.2007(f) notification requirements,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_64_7002,47 C.F.R. § 64.7002,regulation,"Section 64.7002 of our rules (as cited in Appendix A, para. 4)",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_1_1200,47 C.F.R. §§ 1.1200 et seq.,regulation,Commission's ex parte rules,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_1_1206b,47 C.F.R. § 1.1206(b),regulation,Section 1.1206(b),,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_1_415_1_419,"47 C.F.R. §§ 1.415, 1.419",regulation,Comment filing procedures,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
