ordering_clause_id,part_id,paragraph_number,text,footnote_refs,source_document
OC_36,PART_XI,36,"Accordingly, IT IS ORDERED that pursuant to Sections 1, 4(i), 222 and 303(r) of the Communications Act of 1934, as amended, 47 U.S.C. §§ 151, 154(i), 222 and 303(r), the CLARIFICATION ORDER and SECOND FURTHER NOTICE OF PROPOSED RULEMAKING ARE ADOPTED. The requirements of this Order shall become effective 30 days after publication of a summary thereof in the Federal Register.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
OC_37,PART_XI,37,"IT IS FURTHER ORDERED that the Commission’s Office of Public Affairs, Reference Operations Division, SHALL SEND a copy of this CLARIFICATION ORDER AND SECOND FURTHER Notice OF PROPOSED RULEMAKING, including the Initial Regulatory Flexibility Analysis, to the Chief Counsel for Advocacy of the Small Business Administration.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
