section_id,part_id,label,heading,order,source_document
PART_III_A,PART_III,A,Status of Rules Not Concerning Opt-in Customer Approval,1,KB 2/USA/Customer Proprietary Network Information Rules.pdf
PART_IV_A,PART_IV,A,Form of Approval Under Section 222(c)(1),2,KB 2/USA/Customer Proprietary Network Information Rules.pdf
PART_IV_B,PART_IV,B,Specific Notification Requirements,3,KB 2/USA/Customer Proprietary Network Information Rules.pdf
PART_IV_C,PART_IV,C,Interplay of Sections 222 and 272,4,KB 2/USA/Customer Proprietary Network Information Rules.pdf
PART_V_1,PART_V,1,Ex Parte Presentations,5,KB 2/USA/Customer Proprietary Network Information Rules.pdf
PART_V_2,PART_V,2,Initial Regulatory Flexibility Act Analysis,6,KB 2/USA/Customer Proprietary Network Information Rules.pdf
PART_V_3,PART_V,3,Initial Paperwork Reduction Act Analysis,7,KB 2/USA/Customer Proprietary Network Information Rules.pdf
PART_V_4,PART_V,4,Comment Filing Procedures,8,KB 2/USA/Customer Proprietary Network Information Rules.pdf
