defined_term_id,term,definition_text,defined_in,source_document
DT_CPNI,CPNI (customer proprietary network information),"CPNI includes where, when, and to whom a customer places a call, as well as the types of service offerings to which the customer subscribes and the extent to which the service is used.",P001,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_TOTAL_SERVICE,total service approach,"In the CPNI Order, the Commission stated that Section 222(c)(1) of the Act allows a carrier to use, without the customer’s prior approval, the customer’s CPNI derived from the complete service that the customer subscribes to from that carrier and its affiliates, for marketing purposes within the existing service relationship. This is known as the “total service approach.”",P003,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_NOTICE_OPT_IN,notice and opt-in,"The Commission also concluded that carriers must notify the customer of the customer’s rights under Section 222 and then obtain express written, oral or electronic customer approval -- a “notice and opt-in” approach -- before a carrier may use CPNI to market services outside the customer’s existing service relationship with that carrier.",P003,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_OPT_OUT_REGIME,opt-out regime,"The Commission rejected an opt-out regime, under which a carrier could use CPNI beyond the existing service relationship as long as it has made a request to a customer for permission to use CPNI in that manner and the customer had not expressly objected to such use.",P015,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_OPT_IN_METHOD,opt-in method,"Under the opt-in method, a carrier was required to notify the customer of his or her rights with regard to CPNI and then obtain express written, oral or electronic customer approval before the carrier may use CPNI to market services to the customer that are outside the existing service relationship that the customer has with the carrier.",APPA_P02,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_OPT_OUT_METHOD,opt-out method,The opt-in method is distinguished from the opt-out method under which approval to use the customer’s CPNI is inferred from the customer-carrier relationship unless the customer requests specifically that his or her CPNI be restricted.,APPA_P02,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_TOTAL_SERVICE_APPX,total service approach (Appendix A),"The total service approach is not a consent mechanism like the opt-in or opt-out approach, but instead describes the scope of services for which a customer grants his or her consent for the carrier to use CPNI. Specifically, under the total service approach, the customer’s implied approval is limited to the parameters of the customer’s existing service, while the customer must grant the carrier affirmative approval in order for the carrier to use the customer’s CPNI to market other services to the customer.",APPA_P06,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_SMALL_ENTITY,small entity,"The RFA generally defines the term ""small entity"" as having the same meaning as the terms ""small business,"" ""small organization,"" and ""small governmental jurisdiction.""",APPA_P08,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_SMALL_BUSINESS_CONCERN,small business concern,"Under the Small Business Act, a ""small business concern"" is one that: (1) is independently owned and operated; (2) is not dominant in its field of operation; and (3) meets any additional criteria established by the Small Business Administration (SBA).",APPA_P08,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_SMALL_TELCO,small business telephone company other than a radiotelephone company,"According to the SBA's definition, a small business telephone company other than a radiotelephone company is one employing fewer than 1,500 persons.",APPA_P11,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_SMALL_RADIOTELEPHONE,small business radiotelephone company,"According to the SBA's definition, a small business radiotelephone company is one employing no more than 1,500 persons.",APPA_P17,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_SMALL_ENTITY_PCS,small entity (broadband PCS Blocks C and F),"The Commission defined ""small entity"" for Blocks C and F as an entity that has average gross revenues of less than $40 million in the three previous calendar years.",APPA_P19,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_VERY_SMALL_BUSINESS,very small business (broadband PCS Block F),"For Block F, an additional classification for ""very small business"" was added, and is defined as an entity that, together with its affiliates, has average gross revenues of not more than $15 million for the preceding three calendar years.",APPA_P19,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_SMALL_ENTITY_SMR,small entity (800 MHz and 900 MHz SMR auctions),"Pursuant to 47 C.F.R. § 90.814(b)(1), the Commission has defined ""small entity"" in auctions for geographic area 800 MHz and 900 MHz SMR licenses as a firm that had average annual gross revenues of less than $15 million in the three previous calendar years.",APPA_P20,KB 2/USA/Customer Proprietary Network Information Rules.pdf
DT_SMALL_ILEC,small ILECs,"Out of an abundance of caution, however, for regulatory flexibility analysis purposes, we will separately consider small ILECs within this analysis and use the term ""small ILECs"" to refer to any ILECs that arguably might be defined by SBA as ""small business concerns.""",APPA_P09,KB 2/USA/Customer Proprietary Network Information Rules.pdf
