source_id,target_id,rel_type,note
FCC_01_247,PART_I,HAS_PART,
FCC_01_247,PART_II,HAS_PART,
FCC_01_247,PART_III,HAS_PART,
FCC_01_247,PART_IV,HAS_PART,
FCC_01_247,PART_V,HAS_PART,
FCC_01_247,PART_XI,HAS_PART,
PART_III,PART_III_A,HAS_SECTION,
PART_IV,PART_IV_A,HAS_SECTION,
PART_IV,PART_IV_B,HAS_SECTION,
PART_IV,PART_IV_C,HAS_SECTION,
PART_V,PART_V_1,HAS_SECTION,
PART_V,PART_V_2,HAS_SECTION,
PART_V,PART_V_3,HAS_SECTION,
PART_V,PART_V_4,HAS_SECTION,
PART_I,P001,HAS_PARAGRAPH,
PART_II,P002,HAS_PARAGRAPH,
PART_II,P003,HAS_PARAGRAPH,
PART_II,P004,HAS_PARAGRAPH,
PART_II,P005,HAS_PARAGRAPH,
PART_II,P006,HAS_PARAGRAPH,
PART_III_A,P007,HAS_PARAGRAPH,
PART_III_A,P008,HAS_PARAGRAPH,
PART_III_A,P009,HAS_PARAGRAPH,
PART_III_A,P010,HAS_PARAGRAPH,
PART_III_A,P011,HAS_PARAGRAPH,
PART_IV,P012,HAS_PARAGRAPH,
PART_IV,P013,HAS_PARAGRAPH,
PART_IV_A,P014,HAS_PARAGRAPH,
PART_IV_A,P015,HAS_PARAGRAPH,
PART_IV_A,P016,HAS_PARAGRAPH,
PART_IV_A,P017,HAS_PARAGRAPH,
PART_IV_A,P018,HAS_PARAGRAPH,
PART_IV_A,P019,HAS_PARAGRAPH,
PART_IV_A,P020,HAS_PARAGRAPH,
PART_IV_A,P021,HAS_PARAGRAPH,
PART_IV_A,P022,HAS_PARAGRAPH,
PART_IV_B,P023,HAS_PARAGRAPH,
PART_IV_C,P024,HAS_PARAGRAPH,
PART_IV_C,P025,HAS_PARAGRAPH,
PART_IV_C,P026,HAS_PARAGRAPH,
PART_V_1,P027,HAS_PARAGRAPH,
PART_V_2,P028,HAS_PARAGRAPH,
PART_V_3,P029,HAS_PARAGRAPH,
PART_V_4,P030,HAS_PARAGRAPH,
PART_V_4,P031,HAS_PARAGRAPH,
PART_V_4,P032,HAS_PARAGRAPH,
PART_V_4,P033,HAS_PARAGRAPH,
PART_V_4,P034,HAS_PARAGRAPH,
PART_V_4,P035,HAS_PARAGRAPH,
PART_XI,OC_36,HAS_ORDERING_CLAUSE,
PART_XI,OC_37,HAS_ORDERING_CLAUSE,
FCC_01_247,APP_A,HAS_APPENDIX,
APP_A,APPA_S_A,HAS_SECTION,
APP_A,APPA_S_B,HAS_SECTION,
APP_A,APPA_S_C,HAS_SECTION,
APP_A,APPA_S_D,HAS_SECTION,
APP_A,APPA_S_E,HAS_SECTION,
APP_A,APPA_S_F,HAS_SECTION,
APP_A,APPA_P01,HAS_PARAGRAPH,
APPA_S_A,APPA_P02,HAS_PARAGRAPH,
APPA_S_A,APPA_P03,HAS_PARAGRAPH,
APPA_S_A,APPA_P04,HAS_PARAGRAPH,
APPA_S_A,APPA_P05,HAS_PARAGRAPH,
APPA_S_A,APPA_P06,HAS_PARAGRAPH,
APPA_S_B,APPA_P07,HAS_PARAGRAPH,
APPA_S_C,APPA_P08,HAS_PARAGRAPH,
APPA_S_C,APPA_P09,HAS_PARAGRAPH,
APPA_S_C,APPA_P10,HAS_PARAGRAPH,
APPA_S_C,APPA_P11,HAS_PARAGRAPH,
APPA_S_C,APPA_P12,HAS_PARAGRAPH,
APPA_S_C,APPA_P13,HAS_PARAGRAPH,
APPA_S_C,APPA_P14,HAS_PARAGRAPH,
APPA_S_C,APPA_P15,HAS_PARAGRAPH,
APPA_S_C,APPA_P16,HAS_PARAGRAPH,
APPA_S_C,APPA_P17,HAS_PARAGRAPH,
APPA_S_C,APPA_P18,HAS_PARAGRAPH,
APPA_S_C,APPA_P19,HAS_PARAGRAPH,
APPA_S_C,APPA_P20,HAS_PARAGRAPH,
APPA_S_C,APPA_P21,HAS_PARAGRAPH,
APPA_S_C,APPA_P22,HAS_PARAGRAPH,
APPA_S_C,APPA_P23,HAS_PARAGRAPH,
APPA_S_D,APPA_P24,HAS_PARAGRAPH,
APPA_S_E,APPA_P25,HAS_PARAGRAPH,
APPA_S_E,APPA_P26,HAS_PARAGRAPH,
APPA_S_E,APPA_P27,HAS_PARAGRAPH,
APPA_S_E,APPA_P28,HAS_PARAGRAPH,
APPA_S_E,APPA_P29,HAS_PARAGRAPH,
APPA_S_E,APPA_P30,HAS_PARAGRAPH,
APPA_S_F,APPA_P31,HAS_PARAGRAPH,
FCC_01_247,STMT_TRISTANI_COPPS,HAS_SEPARATE_STATEMENT,
STMT_TRISTANI_COPPS,SS_P01,HAS_PARAGRAPH,
STMT_TRISTANI_COPPS,SS_P02,HAS_PARAGRAPH,
STMT_TRISTANI_COPPS,SS_P03,HAS_PARAGRAPH,
STMT_TRISTANI_COPPS,SS_P04,HAS_PARAGRAPH,
STMT_TRISTANI_COPPS,SS_P05,HAS_PARAGRAPH,
STMT_TRISTANI_COPPS,SS_P06,HAS_PARAGRAPH,
