statement_paragraph_id,separate_statement_id,order,text,footnote_refs,source_document
SS_P01,STMT_TRISTANI_COPPS,1,"Today the Commission issues a Further Notice to develop a record that allows us to implement Section 222 of the Communications Act, the customer proprietary network information (CPNI) provision, consistent with the direction provided by the 10th Circuit Court of Appeals in U.S. West, Inc. v. Federal Communications Commission. This proceeding should result in CPNI rules that provide industry with certainty regarding the legal use of customer information for marketing and other purposes. At issue here is whether the rules will also provide customers with the ability to make an express decision regarding whether and how their personal information will be used.",1,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_P02,STMT_TRISTANI_COPPS,2,"Our overriding responsibility in this remanded proceeding is to follow the specific substantive instructions of Congress supported by a record that has the scope and depth required by the 10th Circuit. Congress expressly stated that “[e]very telecommunications carrier has a duty to protect the confidentiality of proprietary information of, and relating to . . . customers.” Congress added that a telecommunications carrier that receives or obtains CPNI by virtue of its provision of a telecommunication service shall only use, disclose, or permit access to individually identifiable CPNI “with the approval of the customer.” Congress has already made the public policy decision that telephone consumers deserve special privacy protection for CPNI, and that no such information should be used without approval.",2;3,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_P03,STMT_TRISTANI_COPPS,3,"We write separately because we believe that in order to comply with Section 222, the Commission should have expressed continued support for its current CPNI policy, seeking comment on the nature of the government interest in privacy, the potential harm to privacy to which consumers are exposed, and whether our approach is no more extensive than necessary to serve the interest of protecting personal privacy. In the 1998 CPNI Order, the Commission considered the concerns that Congress addressed with the adoption of Section 222, namely, the strong interest of consumers in keeping sensitive information private. The Commission determined that a common sense interpretation of the word “approval” as used in the statute suggested that it required “a knowing acceptance” by a customer that its carrier would be using the customer’s CPNI for marketing services outside those services currently being subscribed to by the customer. Simply put, the Commission determined that an affirmative approval requirement, the opt-in method, rather than a passive approval requirement, the opt-out method, provided the level of protection of privacy interests that Congress chose. We continue to believe this is the correct interpretation of Section 222. We hope the neutral approach taken here does not reflect this Commission's reconsideration of this fundamental policy choice.",4;5;6,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_P04,STMT_TRISTANI_COPPS,4,"The 10th Circuit found that our proceeding relied on a record that did not allow it to make several findings needed to uphold our CPNI Order in the face of a First Amendment challenge. At the same time, the 10th Circuit made a special point of explaining that it did not “advocate” that the Commission change its decision to require the opt-in approach. Nor did it advocate that the Commission take another approach, by, for example, deciding to change course and allow the opt-out approach.",7,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_P05,STMT_TRISTANI_COPPS,5,"Instead, the 10th Circuit found that the record in this proceeding was inadequate. To respond to the court’s decision, first we must provide “more empirical explanation and justification for the government’s asserted interest” in protecting consumer privacy and in promoting competition. Without this information the Court could not determine whether those interests were “substantial” in its First Amendment analysis. Second, we must seek a more complete record on the question of whether harms to consumer privacy and competition “are real” and whether an opt-in approach “will in fact alleviate them to a material degree.” Third, we must provide additional consideration of whether opt-in is “ ‘no more extensive than necessary to serve [the stated] interest[s].’ ” The court’s decision, as demonstrated above, was based on an incomplete record, not on a flawed outcome.",8;9;10;11,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_P06,STMT_TRISTANI_COPPS,6,"We emphasize the importance of expeditiously collecting and analyzing the relevant data and then proceeding to carry Congress’s will. Our charge from Congress is to ensure that carriers only use, disclose, or permit access to individually identifiable CPNI “with the approval of the customer.” Congress chose to enact a tough requirement for carriers and it is our duty to implement it.",12,KB 2/USA/Customer Proprietary Network Information Rules.pdf
