source_id,target_id,rel_type,mention_count,citation_text
1798.100(f),1798.185,CROSS_REFERENCES,1,paragraph (3) of subdivision (a) of Section 1798.185
1798.105(b),1798.130,CROSS_REFERENCES,1,Section 1798.130
1798.106(b),1798.130,CROSS_REFERENCES,1,Section 1798.130
1798.106(c),1798.130,CROSS_REFERENCES,1,Section 1798.130
1798.106(c),1798.185,CROSS_REFERENCES,1,paragraph (7) of subdivision (a) of Section 1798.185
1798.110(b),1798.130,CROSS_REFERENCES,1,subparagraph (B) of paragraph (3) of subdivision (a) of Section 1798.130
1798.110(c),1798.130,CROSS_REFERENCES,1,subparagraph (B) of paragraph (5) of subdivision (a) of Section 1798.130
1798.115(b),1798.130,CROSS_REFERENCES,1,paragraph (4) of subdivision (a) of Section 1798.130
1798.115(c),1798.130,CROSS_REFERENCES,1,subparagraph (C) of paragraph (5) of subdivision (a) of Section 1798.130
1798.115(d),1798.120,CROSS_REFERENCES,1,Section 1798.120
1798.120(b),1798.135,CROSS_REFERENCES,1,subdivision (a) of Section 1798.135
1798.120(d),1798.135,CROSS_REFERENCES,1,paragraph (4) of subdivision (c) of Section 1798.135
1798.121(a),1798.135,CROSS_REFERENCES,1,subdivision (a) of Section 1798.135
1798.121(a),1798.140,CROSS_REFERENCES,1,subdivision (e) of Section 1798.140
1798.121(a),1798.185,CROSS_REFERENCES,1,subparagraph (C) of paragraph (18) of subdivision (a) of Section 1798.185
1798.121(b),1798.135,CROSS_REFERENCES,1,paragraph (4) of subdivision (c) of Section 1798.135
1798.121(d),1798.100,CROSS_REFERENCES,1,Section 1798.100
1798.121(d),1798.185,CROSS_REFERENCES,1,subparagraph (C) of paragraph (18) of subdivision (a) of Section 1798.185
1798.130(a),1798.100,CROSS_REFERENCES,1,Sections 1798.100
1798.130(a),1798.105,CROSS_REFERENCES,1,
1798.130(a),1798.106,CROSS_REFERENCES,1,
1798.130(a),1798.110,CROSS_REFERENCES,1,
1798.130(a),1798.115,CROSS_REFERENCES,1,
1798.130(a),1798.125,CROSS_REFERENCES,1,
1798.130(a)(1)(A),1798.105,CROSS_REFERENCES,2,Sections 1798.105
1798.130(a)(1)(A),1798.106,CROSS_REFERENCES,2,
1798.130(a)(1)(A),1798.110,CROSS_REFERENCES,2,Sections 1798.110
1798.130(a)(1)(A),1798.115,CROSS_REFERENCES,2,
1798.130(a)(1)(B),1798.105,CROSS_REFERENCES,1,Sections 1798.105
1798.130(a)(1)(B),1798.106,CROSS_REFERENCES,1,
1798.130(a)(1)(B),1798.110,CROSS_REFERENCES,1,Sections 1798.110
1798.130(a)(1)(B),1798.115,CROSS_REFERENCES,1,
1798.130(a)(2)(B),1798.185,CROSS_REFERENCES,1,paragraph (8) of subdivision (a) of Section 1798.185
1798.130(a)(3)(A),1798.100,CROSS_REFERENCES,1,Section 1798.100
1798.130(a)(3)(A),1798.110,CROSS_REFERENCES,2,Section 1798.110
1798.130(a)(3)(A),1798.115,CROSS_REFERENCES,2,
1798.130(a)(3)(B),1798.110,CROSS_REFERENCES,1,subdivision (b) of Section 1798.110
1798.130(a)(4),1798.115,CROSS_REFERENCES,1,subdivision (b) of Section 1798.115
1798.130(a)(5)(A),1798.100,CROSS_REFERENCES,1,Sections 1798.100
1798.130(a)(5)(A),1798.105,CROSS_REFERENCES,1,
1798.130(a)(5)(A),1798.106,CROSS_REFERENCES,1,
1798.130(a)(5)(A),1798.110,CROSS_REFERENCES,1,
1798.130(a)(5)(A),1798.115,CROSS_REFERENCES,1,
1798.130(a)(5)(A),1798.125,CROSS_REFERENCES,1,
1798.130(a)(5)(B),1798.110,CROSS_REFERENCES,1,subdivision (c) of Section 1798.110
1798.130(a)(5)(C),1798.115,CROSS_REFERENCES,1,subdivision (c) of Section 1798.115
1798.130(a)(6),1798.100,CROSS_REFERENCES,1,Sections 1798.100
1798.130(a)(6),1798.105,CROSS_REFERENCES,1,
1798.130(a)(6),1798.106,CROSS_REFERENCES,1,
1798.130(a)(6),1798.110,CROSS_REFERENCES,1,
1798.130(a)(6),1798.115,CROSS_REFERENCES,1,
1798.130(a)(6),1798.125,CROSS_REFERENCES,1,
1798.130(b),1798.110,CROSS_REFERENCES,1,Sections 1798.110
1798.130(b),1798.115,CROSS_REFERENCES,1,
1798.130(c),1798.100,CROSS_REFERENCES,1,Sections 1798.100
1798.130(c),1798.110,CROSS_REFERENCES,1,
1798.130(c),1798.115,CROSS_REFERENCES,1,
1798.130(c),1798.140,CROSS_REFERENCES,3,Section 1798.140
