section_id,section_number,heading,citation,intro_text,clause_count,source_document
1798.100,1798.100,General Duties of Businesses that Collect Personal Information,Civil Code § 1798.100,,14,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.105,1798.105,Consumers’ Right to Delete Personal Information,Civil Code § 1798.105,,15,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.106,1798.106,Consumers’ Right to Correct Inaccurate Personal Information,Civil Code § 1798.106,,3,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.110,1798.110,Consumers’ Right to Know What Personal Information is Being Collected. Right to Access Personal Information,Civil Code § 1798.110,,13,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.115,1798.115,Consumers’ Right to Know What Personal Information is Sold or Shared and to Whom,Civil Code § 1798.115,,9,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.120,1798.120,Consumers’ Right to Opt Out of Sale or Sharing of Personal Information,Civil Code § 1798.120,,6,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.121,1798.121,Consumers’ Right to Limit Use and Disclosure of Sensitive Personal Information,Civil Code § 1798.121,,4,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.125,1798.125,Consumers’ Right of No Retaliation Following Opt Out or Exercise of Other Rights . 10,Civil Code § 1798.125,"exercised any of the consumer’s rights under this title, including, but not limited to, by: (A) Denying goods or services to the consumer. (B) Charging different prices or rates for goods or services, including through the use of discounts or other benefits or imposing penalties. (C) Providing a different level or quality of goods or services to the consumer. (D) Suggesting that the consumer will receive a different price or rate for goods or services or a different level or quality of goods or services. (E) Retaliating against an employee, applicant for employment, or independent contractor, as defined in subparagraph (A) of paragraph (2) of subdivision (m) of Section 1798.145, for exercising their rights under this title. (2) Nothing in this subdivision prohibits a business, pursuant to subdivision (b), from charging a consumer a different price or rate, or from providing a different level or quality of goods or services to the consumer, if that difference is reasonably related to the value provided to the business by the consumer’s data. (3) This subdivision does not prohibit a business from offering loyalty, rewards, premium features, discounts, or club card programs consistent with this title. (b) (1) A business may offer financial incentives, including payments to consumers as compensation, for the collection of personal information, the sale or sharing of personal information, or the retention of personal information. A business may also offer a different price, rate, level, or quality of goods or services to the consumer if that price or difference is reasonably related to the value provided to the business by the consumer’s data. (2) A business that offers any financial incentives pursuant to this subdivision, shall notify consumers of the financial incentives pursuant to Section 1798.130. (3) A business may enter a consumer into a financial incentive program only if the consumer gives the business prior opt-in consent pursuant to Section 1798.130 that clearly describes the material terms of the financial incentive program, and which may be revoked by the consumer at any time. If a consumer refuses to provide opt- in consent, then the business shall wait for at least 12 months before next requesting that the consumer provide opt-in consent, or as prescribed by regulations adopted pursuant to Section 1798.185. (4) A business shall not use financial incentive practices that are unjust, unreasonable, coercive, or usurious in nature.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.130,1798.130,"Notice, Disclosure, Correction, and Deletion Requirements",Civil Code § 1798.130,,31,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.135,1798.135,"Methods of Limiting Sale, Sharing, and Use of Personal Information and Use of Sensitive Personal Information",Civil Code § 1798.135,,30,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
