timeperiod_id,period_text,period_kind,source_document
DL:001,16 years,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:002,13 years,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:003,45 days,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:004,45-day,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:005,12-month,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:006,"January 1, 2022",fixed date,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:007,12 months,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:008,"September 1, 2017",fixed date,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:009,18 years,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:010,90 days,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:011,90-day,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:012,three days,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:013,"January 1, 2023",fixed date,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:014,"January 1, 2021",fixed date,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:015,30 days,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:016,"July 1, 2020",fixed date,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:017,one year,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:018,six months,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:019,"July 1, 2022",fixed date,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:020,"July 1, 2021",fixed date,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:021,"July 1, 2023",fixed date,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:022,"January 1, 2020",fixed date,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:023,five-year,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:024,two years,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:025,four years,duration,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
DL:026,"January 1, 2025",fixed date,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
