right_id,right_name,section_id,citation,source_document
RIGHT:1798.105,Consumers’ Right to Delete Personal Information,1798.105,Civil Code § 1798.105,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
RIGHT:1798.106,Consumers’ Right to Correct Inaccurate Personal Information,1798.106,Civil Code § 1798.106,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
RIGHT:1798.110,Consumers’ Right to Know What Personal Information is Being Collected. Right to Access Personal Information,1798.110,Civil Code § 1798.110,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
RIGHT:1798.115,Consumers’ Right to Know What Personal Information is Sold or Shared and to Whom,1798.115,Civil Code § 1798.115,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
RIGHT:1798.120,Consumers’ Right to Opt Out of Sale or Sharing of Personal Information,1798.120,Civil Code § 1798.120,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
RIGHT:1798.121,Consumers’ Right to Limit Use and Disclosure of Sensitive Personal Information,1798.121,Civil Code § 1798.121,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
RIGHT:1798.125,Consumers’ Right of No Retaliation Following Opt Out or Exercise of Other Rights . 10,1798.125,Civil Code § 1798.125,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
