threshold_id,threshold_text,source_document
THR:001,"100,000 or more consumers or households","California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
THR:002,50 percent,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
THR:003,at least a 40 percent interest,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
THR:004,Ninety-one percent,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
THR:005,9 percent,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
THR:006,3 percent,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
THR:007,250 words,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
