externalcitation_id,citation,target_section,source_document
EXT:1798.81.5,Civil Code Section 1798.81.5,1798.81.5,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
EXT:1798.80,Civil Code Section 1798.80,1798.80,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
