name,title,description
IG1,Essential Cyber Hygiene,"Foundational set of cyber defense Safeguards that every enterprise should apply to guard against the most common attacks."
IG2,Enterprise Security,"For enterprises with dedicated IT/Security staff, supporting multiple departments with differing risk profiles and regulatory burdens."
IG3,Advanced Enterprise Security,"For enterprises with specialized security experts, sensitive data subject to high regulatory oversight, and need to abate targeted attacks."
