from_node_type,from_node_id,relationship_type,to_node_type,to_node_id
Safeguard,1.1,MAPS_TO_FUNCTION,SecurityFunction,Identify
Safeguard,1.2,MAPS_TO_FUNCTION,SecurityFunction,Respond
Safeguard,1.3,MAPS_TO_FUNCTION,SecurityFunction,Detect
Safeguard,1.4,MAPS_TO_FUNCTION,SecurityFunction,Identify
Safeguard,1.5,MAPS_TO_FUNCTION,SecurityFunction,Detect
Safeguard,2.1,MAPS_TO_FUNCTION,SecurityFunction,Identify
Safeguard,2.2,MAPS_TO_FUNCTION,SecurityFunction,Identify
Safeguard,2.3,MAPS_TO_FUNCTION,SecurityFunction,Respond
Safeguard,2.4,MAPS_TO_FUNCTION,SecurityFunction,Detect
Safeguard,2.5,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,2.6,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,2.7,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,3.1,MAPS_TO_FUNCTION,SecurityFunction,Govern
Safeguard,3.2,MAPS_TO_FUNCTION,SecurityFunction,Identify
Safeguard,3.3,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,3.4,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,3.5,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,3.6,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,3.7,MAPS_TO_FUNCTION,SecurityFunction,Identify
Safeguard,3.8,MAPS_TO_FUNCTION,SecurityFunction,Identify
Safeguard,3.9,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,3.10,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,3.11,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,3.12,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,3.13,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,3.14,MAPS_TO_FUNCTION,SecurityFunction,Detect
Safeguard,4.1,MAPS_TO_FUNCTION,SecurityFunction,Govern
Safeguard,4.2,MAPS_TO_FUNCTION,SecurityFunction,Govern
Safeguard,4.3,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,4.4,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,4.5,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,4.6,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,4.7,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,4.8,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,4.9,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,4.10,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,4.11,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,4.12,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,5.1,MAPS_TO_FUNCTION,SecurityFunction,Identify
Safeguard,5.2,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,5.3,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,5.4,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,5.5,MAPS_TO_FUNCTION,SecurityFunction,Identify
Safeguard,5.6,MAPS_TO_FUNCTION,SecurityFunction,Govern
Safeguard,6.1,MAPS_TO_FUNCTION,SecurityFunction,Govern
Safeguard,6.2,MAPS_TO_FUNCTION,SecurityFunction,Govern
Safeguard,6.3,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,6.4,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,6.5,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,6.6,MAPS_TO_FUNCTION,SecurityFunction,Identify
Safeguard,6.7,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,6.8,MAPS_TO_FUNCTION,SecurityFunction,Govern
Safeguard,7.1,MAPS_TO_FUNCTION,SecurityFunction,Govern
Safeguard,7.2,MAPS_TO_FUNCTION,SecurityFunction,Govern
Safeguard,7.3,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,7.4,MAPS_TO_FUNCTION,SecurityFunction,Protect
Safeguard,7.5,MAPS_TO_FUNCTION,SecurityFunction,Identify
Safeguard,7.6,MAPS_TO_FUNCTION,SecurityFunction,Identify
Safeguard,7.7,MAPS_TO_FUNCTION,SecurityFunction,Respond
Safeguard,8.1,MAPS_TO_FUNCTION,SecurityFunction,Govern
Safeguard,8.2,MAPS_TO_FUNCTION,SecurityFunction,Detect
Safeguard,8.3,MAPS_TO_FUNCTION,SecurityFunction,Protect
