name,source
Govern,NIST Cybersecurity Framework 2.0
Identify,NIST Cybersecurity Framework 2.0
Protect,NIST Cybersecurity Framework 2.0
Detect,NIST Cybersecurity Framework 2.0
Respond,NIST Cybersecurity Framework 2.0
Recover,NIST Cybersecurity Framework 2.0
