from_node_type,from_node_id,relationship_type,to_node_type,to_node_id
Control,1,HAS_SAFEGUARD,Safeguard,1.1
Control,1,HAS_SAFEGUARD,Safeguard,1.2
Control,1,HAS_SAFEGUARD,Safeguard,1.3
Control,1,HAS_SAFEGUARD,Safeguard,1.4
Control,1,HAS_SAFEGUARD,Safeguard,1.5
Control,2,HAS_SAFEGUARD,Safeguard,2.1
Control,2,HAS_SAFEGUARD,Safeguard,2.2
Control,2,HAS_SAFEGUARD,Safeguard,2.3
Control,2,HAS_SAFEGUARD,Safeguard,2.4
Control,2,HAS_SAFEGUARD,Safeguard,2.5
Control,2,HAS_SAFEGUARD,Safeguard,2.6
Control,2,HAS_SAFEGUARD,Safeguard,2.7
Control,3,HAS_SAFEGUARD,Safeguard,3.1
Control,3,HAS_SAFEGUARD,Safeguard,3.2
Control,3,HAS_SAFEGUARD,Safeguard,3.3
Control,3,HAS_SAFEGUARD,Safeguard,3.4
Control,3,HAS_SAFEGUARD,Safeguard,3.5
Control,3,HAS_SAFEGUARD,Safeguard,3.6
Control,3,HAS_SAFEGUARD,Safeguard,3.7
Control,3,HAS_SAFEGUARD,Safeguard,3.8
Control,3,HAS_SAFEGUARD,Safeguard,3.9
Control,3,HAS_SAFEGUARD,Safeguard,3.10
Control,3,HAS_SAFEGUARD,Safeguard,3.11
Control,3,HAS_SAFEGUARD,Safeguard,3.12
Control,3,HAS_SAFEGUARD,Safeguard,3.13
Control,3,HAS_SAFEGUARD,Safeguard,3.14
Control,4,HAS_SAFEGUARD,Safeguard,4.1
Control,4,HAS_SAFEGUARD,Safeguard,4.2
Control,4,HAS_SAFEGUARD,Safeguard,4.3
Control,4,HAS_SAFEGUARD,Safeguard,4.4
Control,4,HAS_SAFEGUARD,Safeguard,4.5
Control,4,HAS_SAFEGUARD,Safeguard,4.6
Control,4,HAS_SAFEGUARD,Safeguard,4.7
Control,4,HAS_SAFEGUARD,Safeguard,4.8
Control,4,HAS_SAFEGUARD,Safeguard,4.9
Control,4,HAS_SAFEGUARD,Safeguard,4.10
Control,4,HAS_SAFEGUARD,Safeguard,4.11
Control,4,HAS_SAFEGUARD,Safeguard,4.12
Control,5,HAS_SAFEGUARD,Safeguard,5.1
Control,5,HAS_SAFEGUARD,Safeguard,5.2
Control,5,HAS_SAFEGUARD,Safeguard,5.3
Control,5,HAS_SAFEGUARD,Safeguard,5.4
Control,5,HAS_SAFEGUARD,Safeguard,5.5
Control,5,HAS_SAFEGUARD,Safeguard,5.6
Control,6,HAS_SAFEGUARD,Safeguard,6.1
Control,6,HAS_SAFEGUARD,Safeguard,6.2
Control,6,HAS_SAFEGUARD,Safeguard,6.3
Control,6,HAS_SAFEGUARD,Safeguard,6.4
Control,6,HAS_SAFEGUARD,Safeguard,6.5
Control,6,HAS_SAFEGUARD,Safeguard,6.6
Control,6,HAS_SAFEGUARD,Safeguard,6.7
Control,6,HAS_SAFEGUARD,Safeguard,6.8
Control,7,HAS_SAFEGUARD,Safeguard,7.1
