source_id,relationship,target_id
GV.RM-01,MAPPED_TO_HIPAA_SAFEGUARD,C01
GV.RM-02,MAPPED_TO_HIPAA_SAFEGUARD,C01
ID.RA-01,MAPPED_TO_HIPAA_SAFEGUARD,C01
ID.RA-02,MAPPED_TO_HIPAA_SAFEGUARD,C01
DE.CM-01,MAPPED_TO_HIPAA_SAFEGUARD,C01
PR.AT-01,MAPPED_TO_HIPAA_SAFEGUARD,C02
PR.AT-02,MAPPED_TO_HIPAA_SAFEGUARD,C02
PR.PE-01,MAPPED_TO_HIPAA_SAFEGUARD,C03
PR.PE-02,MAPPED_TO_HIPAA_SAFEGUARD,C03
PR.PE-03,MAPPED_TO_HIPAA_SAFEGUARD,C03
ID.AM-01,MAPPED_TO_HIPAA_SAFEGUARD,C04
ID.AM-02,MAPPED_TO_HIPAA_SAFEGUARD,C04
PR.DS-11,MAPPED_TO_HIPAA_SAFEGUARD,C04
PR.AA-01,MAPPED_TO_HIPAA_SAFEGUARD,C05
PR.AA-02,MAPPED_TO_HIPAA_SAFEGUARD,C05
PR.AA-05,MAPPED_TO_HIPAA_SAFEGUARD,C05
DE.CM-02,MAPPED_TO_HIPAA_SAFEGUARD,C06
DE.CM-03,MAPPED_TO_HIPAA_SAFEGUARD,C06
DE.CM-06,MAPPED_TO_HIPAA_SAFEGUARD,C06
PR.DS-01,MAPPED_TO_HIPAA_SAFEGUARD,C07
PR.DS-02,MAPPED_TO_HIPAA_SAFEGUARD,C07
PR.DS-10,MAPPED_TO_HIPAA_SAFEGUARD,C07
PR.AA-03,MAPPED_TO_HIPAA_SAFEGUARD,C08
PR.AA-05,MAPPED_TO_HIPAA_SAFEGUARD,P01
GV.PO-01,MAPPED_TO_HIPAA_SAFEGUARD,P01
GV.OC-03,MAPPED_TO_HIPAA_SAFEGUARD,P02
GV.PO-01,MAPPED_TO_HIPAA_SAFEGUARD,P02
GV.PO-02,MAPPED_TO_HIPAA_SAFEGUARD,P03
RS.MA-01,MAPPED_TO_HIPAA_SAFEGUARD,B01
RS.MA-02,MAPPED_TO_HIPAA_SAFEGUARD,B01
RS.CO-02,MAPPED_TO_HIPAA_SAFEGUARD,B01
RS.CO-03,MAPPED_TO_HIPAA_SAFEGUARD,B01
RC.RP-01,MAPPED_TO_HIPAA_SAFEGUARD,B01
GV.SC-04,MAPPED_TO_HIPAA_SAFEGUARD,BA01
GV.SC-06,MAPPED_TO_HIPAA_SAFEGUARD,BA01
GV.SC-07,MAPPED_TO_HIPAA_SAFEGUARD,BA01
