enterprisesource_id,source_name,url,description,reputation_score,profile_type,name_is_duplicated,source_document
es_sec_edgar,SEC EDGAR,https://www.sec.gov/edgar/searchedgar/companysearch.html,"SEC filings including 10-K, 10-Q, 8-K, Proxy Statements, and Item 1C cybersecurity disclosures",10,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_usaspending_gov,USASpending.gov,https://www.usaspending.gov/,Federal contracts and spending data,9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_sam_gov,SAM.gov,https://sam.gov/,NAICS codes and entity verification,9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_propublica_nonprofit_explorer,ProPublica Nonprofit Explorer,https://projects.propublica.org/nonprofits/,Form 990 data for non-profit organizations,9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_state_secretary_of_state_databases,State Secretary of State Databases,,State-level corporate registries and entity information,9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_better_business_bureau_bbb,Better Business Bureau (BBB),https://www.bbb.org/,Business records and ratings,6,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_companies_house_uk,Companies House (UK),https://www.gov.uk/government/organisations/companies-house,UK company registry and filings,10,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_north_data,North Data,https://www.northdata.com/,European corporate data and company information,7,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_eurostat_business_registries,Eurostat Business Registries,https://ec.europa.eu/eurostat,European Union business and corporate registry data,9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_national_corporate_registries,National Corporate Registries,,"Country-specific corporate registries (France, Germany, Netherlands, etc.)",9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_gleif_lei_search,GLEIF LEI Search,https://search.gleif.org/,Legal Entity Identifier search and verification,9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_zaubacorp,ZaubaCorp,https://www.zaubacorp.com/,India corporate data and company information,7,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_asic_australia,ASIC (Australia),https://asic.gov.au/,Australian Securities and Investments Commission - company registry and annual reports,10,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_acra_singapore,ACRA (Singapore),https://www.acra.gov.sg/,Singapore Accounting and Corporate Regulatory Authority - company registry,10,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_companies_registry_hong_kong,Companies Registry (Hong Kong),https://www.cr.gov.hk/,Hong Kong company registry and corporate information,10,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_ministry_of_corporate_affairs_india,Ministry of Corporate Affairs (India),https://www.mca.gov.in/,India corporate registry and company filings,9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_japan_external_trade_organization_jetro,Japan External Trade Organization (JETRO),https://www.jetro.go.jp/,JETRO databases and trade information,8,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_regional_corporate_registries,Regional Corporate Registries,,Regional corporate registries and securities commissions,9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_international_trade_databases,International Trade Databases,,Global trade and commerce databases,7,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_global_financial_databases,Global Financial Databases,,"Bloomberg, Refinitiv and other financial data platforms (where accessible)",8,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
