source_id,target_id,rel_type,sequence
GS-01,GS-01-P01,HAS_PARAGRAPH,1
GS-01,GS-01-P02,HAS_PARAGRAPH,2
GS-01,GS-01-P03,HAS_PARAGRAPH,3
GS-02,GS-02-P01,HAS_PARAGRAPH,1
GS-02,GS-02-P02,HAS_PARAGRAPH,2
GS-02,GS-02-P03,HAS_PARAGRAPH,3
GS-02,GS-02-P04,HAS_PARAGRAPH,4
GS-02,GS-02-P05,HAS_PARAGRAPH,5
GS-03,GS-03-P01,HAS_PARAGRAPH,1
GS-03,GS-03-P02,HAS_PARAGRAPH,2
GS-03,GS-03-P03,HAS_PARAGRAPH,3
GS-04,GS-04-P01,HAS_PARAGRAPH,1
GS-05,GS-05-P01,HAS_PARAGRAPH,1
GS-05,GS-05-P02,HAS_PARAGRAPH,2
GS-06,GS-06-P01,HAS_PARAGRAPH,1
