control_id,mitigationstrategy_id,maturitylevel_id,sequence,text,source_document
PA-ML1-01,STRAT-01,ML1,1,An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML1-02,STRAT-01,ML1,2,A vulnerability scanner with an up-to-date vulnerability database is used for vulnerability scanning activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML1-03,STRAT-01,ML1,3,A vulnerability scanner is used at least daily to identify missing patches or updates for vulnerabilities in online services.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML1-04,STRAT-01,ML1,4,"A vulnerability scanner is used at least weekly to identify missing patches or updates for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML1-05,STRAT-01,ML1,5,"Patches, updates or other vendor mitigations for vulnerabilities in online services are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML1-06,STRAT-01,ML1,6,"Patches, updates or other vendor mitigations for vulnerabilities in online services are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML1-07,STRAT-01,ML1,7,"Patches, updates or other vendor mitigations for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within two weeks of release.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML1-08,STRAT-01,ML1,8,Online services that are no longer supported by vendors are removed.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML1-09,STRAT-01,ML1,9,"Office productivity suites, web browsers and their extensions, email clients, PDF software, Adobe Flash Player, and security products that are no longer supported by vendors are removed.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML1-01,STRAT-02,ML1,1,An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML1-02,STRAT-02,ML1,2,A vulnerability scanner with an up-to-date vulnerability database is used for vulnerability scanning activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML1-03,STRAT-02,ML1,3,A vulnerability scanner is used at least daily to identify missing patches or updates for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML1-04,STRAT-02,ML1,4,"A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in operating systems of workstations, non-internet-facing servers and non- internet-facing network devices.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML1-05,STRAT-02,ML1,5,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML1-06,STRAT-02,ML1,6,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML1-07,STRAT-02,ML1,7,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of workstations, non-internet-facing servers and non-internet-facing network devices are applied within one month of release.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML1-08,STRAT-02,ML1,8,Operating systems that are no longer supported by vendors are replaced.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML1-01,STRAT-03,ML1,1,"Multi-factor authentication is used to authenticate users to their organisation's online services that process, store or communicate their organisation's sensitive data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML1-02,STRAT-03,ML1,2,"Multi-factor authentication is used to authenticate users to third-party online services that process, store or communicate their organisation's sensitive data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML1-03,STRAT-03,ML1,3,"Multi-factor authentication (where available) is used to authenticate users to third-party online services that process, store or communicate their organisation's non-sensitive data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML1-04,STRAT-03,ML1,4,"Multi-factor authentication is used to authenticate users to their organisation's online customer services that process, store or communicate their organisation's sensitive customer data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML1-05,STRAT-03,ML1,5,"Multi-factor authentication is used to authenticate users to third-party online customer services that process, store or communicate their organisation's sensitive customer data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML1-06,STRAT-03,ML1,6,"Multi-factor authentication is used to authenticate customers to online customer services that process, store or communicate sensitive customer data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML1-07,STRAT-03,ML1,7,"Multi-factor authentication uses either: something users have and something users know, or something users have that is unlocked by something users know or are.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML1-01,STRAT-04,ML1,1,"Requests for privileged access to systems, applications and data repositories are validated when first requested.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML1-02,STRAT-04,ML1,2,Privileged users are assigned a dedicated privileged user account to be used solely for duties requiring privileged access.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML1-03,STRAT-04,ML1,3,"Privileged user accounts (excluding those explicitly authorised to access online services) are prevented from accessing the internet, email and web services.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML1-04,STRAT-04,ML1,4,Privileged user accounts explicitly authorised to access online services are strictly limited to only what is required for users and services to undertake their duties.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
