definition_id,term,official_citation,statutory_text,regional_standard_regulation_id
DEF-001,Personal information,N.Y. GBL § 899-aa(1)(a),"""Personal information"" shall mean any information concerning a natural person which, because of name, number, personal mark, or other identifier, can be used to identify such natural person",NY SHIELD 1.0
DEF-002,Private information,N.Y. GBL § 899-aa(1)(b),"""Private information"" shall mean either: (i) personal information consisting of any information in combination with any one or more of the following data elements, when either the data element or the combination of personal information plus the data element is not encrypted, or is encrypted with an encryption key that has also been accessed or acquired ... ; or (ii) a user name or e-mail address in combination with a password or security question and answer that would permit access to an online account",NY SHIELD 1.0
DEF-003,Breach of the security of the system,N.Y. GBL § 899-aa(1)(c),"""Breach of the security of the system"" shall mean unauthorized access to or acquisition of, or access to or acquisition without valid authorization, of computerized data that compromises the security, confidentiality, or integrity of private information maintained by a business. Good faith access to, or acquisition of private information by an employee or agent of the business for the purposes of the business is not a breach of the security of the system, provided that the private information is not used or subject to unauthorized disclosure",NY SHIELD 1.0
DEF-004,Consumer reporting agency,N.Y. GBL § 899-aa(1)(d),"""Consumer reporting agency"" shall mean any person which, for monetary fees, dues, or on a cooperative nonprofit basis, regularly engages in whole or in part in the practice of assembling or evaluating consumer credit information or other information on consumers for the purpose of furnishing consumer reports to third parties, and which uses any means or facility of interstate commerce for the purpose of preparing or furnishing consumer reports",NY SHIELD 1.0
DEF-005,Person or business owning or licensing private information,N.Y. GBL § 899-bb(2)(a),"Any person or business that owns or licenses computerized data which includes private information of a resident of New York shall develop, implement and maintain reasonable safeguards to protect the security, confidentiality and integrity of the private information including, but not limited to, disposal of data",NY SHIELD 1.0
DEF-006,Service provider,N.Y. GBL § 899-bb(2)(b)(ii)(A)(5),"selects service providers capable of maintaining appropriate safeguards, and requires those safeguards by contract",NY SHIELD 1.0
DEF-007,Compliant regulated entity,N.Y. GBL § 899-bb(1)(a),"""Compliant regulated entity"" shall mean any person or business that is subject to, and in compliance with, any of the following data security requirements: (i) regulations promulgated pursuant to Title V of the federal Gramm-Leach-Bliley Act (15 U.S.C. 6801 to 6809), as amended from time to time; (ii) regulations implementing the Health Insurance Portability and Accountability Act of 1996 (45 C.F.R. parts 160 and 164), as amended from time to time, and the Health Information Technology for Economic and Clinical Health Act, as amended from time to time; (iii) part five hundred of title twenty-three of the official compilation of codes, rules and regulations of the state of New York, as amended from time to time; or (iv) any other data security rules and regulations of, and the statutes administered by, any official department, division, commission or agency of the federal or New York state government as such rules, regulations or statutes are interpreted by such department, division, commission or agency or by the federal or New York state courts",NY SHIELD 1.0
DEF-008,Small business,N.Y. GBL § 899-bb(1)(c),"""Small business"" shall mean any person or business with (i) fewer than fifty employees; (ii) less than three million dollars in gross annual revenue in each of the last three fiscal years; or (iii) less than five million dollars in year-end total assets, calculated in accordance with generally accepted accounting principles",NY SHIELD 1.0
DEF-009,No private right of action,N.Y. GBL § 899-bb(2)(e),Nothing in this section shall create a private right of action,NY SHIELD 1.0
