definition_id,term,definition_text,definition_full_text,defined_in_citation,section_number,source_document
SOX-DEF-S2-APPROPRIATESTATEREGULATORYAUTHORITY,appropriate State regulatory authority,"The term ‘‘appropriate State regulatory authority’’ means the State agency or other authority responsible for the licensure or other regulation of the practice of accounting in the State or States having jurisdiction over a registered public accounting firm or associated person thereof, with respect to the matter in question.","The term ‘‘appropriate State regulatory authority’’ means the State agency or other authority responsible for the licensure or other regulation of the practice of accounting in the State or States having jurisdiction over a registered public accounting firm or associated person thereof, with respect to the matter in question.",Section 2(a)(1),2,KB 2/USA/Sarbanes-Oxley Act.pdf
SOX-DEF-S2-AUDIT,audit,"The term ‘‘audit’’ means an examination of the financial statements of any issuer by an independent public accounting firm in accordance with the rules of the Board or the Commission (or, for the period preceding the adoption of applicable rules of the Board under section 103, in accordance with then-applicable generally accepted auditing and related standards for such purposes), for the purpose of expressing an opinion on such statements.","The term ‘‘audit’’ means an examination of the financial statements of any issuer by an independent public accounting firm in accordance with the rules of the Board or the Commission (or, for the period preceding the adoption of applicable rules of the Board under section 103, in accordance with then-applicable generally accepted auditing and related standards for such purposes), for the purpose of expressing an opinion on such statements.",Section 2(a)(2),2,KB 2/USA/Sarbanes-Oxley Act.pdf
SOX-DEF-S2-AUDITCOMMITTEE,audit committee,The term ‘‘audit committee’’ means—,"The term ‘‘audit committee’’ means— (A) a committee (or equivalent body) established by and amongst the board of directors of an issuer for the purpose of overseeing the accounting and financial reporting processes of the issuer and audits of the financial statements of the issuer; and (B) if no such committee exists with respect to an issuer, the entire board of directors of the issuer.",Section 2(a)(3),2,KB 2/USA/Sarbanes-Oxley Act.pdf
SOX-DEF-S2-AUDITREPORT,audit report,The term ‘‘audit report’’ means a document or other record—,"The term ‘‘audit report’’ means a document or other record— (A) prepared following an audit performed for purposes of compliance by an issuer with the requirements of the securities laws; and (B) in which a public accounting firm either— (i) sets forth the opinion of that firm regarding a financial statement, report, or other document; or (ii) asserts that no such opinion can be expressed.",Section 2(a)(4),2,KB 2/USA/Sarbanes-Oxley Act.pdf
SOX-DEF-S2-BOARD,Board,The term ‘‘Board’’ means the Public Company Accounting Oversight Board established under section 101.,The term ‘‘Board’’ means the Public Company Accounting Oversight Board established under section 101.,Section 2(a)(5),2,KB 2/USA/Sarbanes-Oxley Act.pdf
SOX-DEF-S2-COMMISSION,Commission,The term ‘‘Commission’’ means the Securities and Exchange Commission.,The term ‘‘Commission’’ means the Securities and Exchange Commission.,Section 2(a)(6),2,KB 2/USA/Sarbanes-Oxley Act.pdf
SOX-DEF-S2-ISSUER,issuer,"The term ‘‘issuer’’ means an issuer (as defined in section 3 of the Securities Exchange Act of 1934 (15 U.S.C. 78c)), the securities of which are registered under section 12 of that Act (15 U.S.C. 78l), or that is required to file reports under section 15(d) (15 U.S.C. 78o(d)), or that files or has filed a registration statement that has not yet become effective under the Securities Act of 1933 (15 U.S.C. 77a et seq.), and that it has not withdrawn.","The term ‘‘issuer’’ means an issuer (as defined in section 3 of the Securities Exchange Act of 1934 (15 U.S.C. 78c)), the securities of which are registered under section 12 of that Act (15 U.S.C. 78l), or that is required to file reports under section 15(d) (15 U.S.C. 78o(d)), or that files or has filed a registration statement that has not yet become effective under the Securities Act of 1933 (15 U.S.C. 77a et seq.), and that it has not withdrawn.",Section 2(a)(7),2,KB 2/USA/Sarbanes-Oxley Act.pdf
SOX-DEF-S2-NONAUDITSERVICES,non-audit services,"The term ‘‘non-audit services’’ means any professional services provided to an issuer by a registered public accounting firm, other than those provided to an issuer in connection with an audit or a review of the financial statements of an issuer.","The term ‘‘non-audit services’’ means any professional services provided to an issuer by a registered public accounting firm, other than those provided to an issuer in connection with an audit or a review of the financial statements of an issuer.",Section 2(a)(8),2,KB 2/USA/Sarbanes-Oxley Act.pdf
SOX-DEF-S2-PERSONASSOCIATEDWITHAPUBLICACCOUNTINGFIRM,person associated with a public accounting firm,"The terms ‘‘person associated with a public accounting firm’’ (or with a ‘‘registered public accounting firm’’) and ‘‘associated person of a public accounting firm’’ (or of a ‘‘registered public accounting firm’’) mean any individual proprietor, partner, shareholder, principal, accountant, or other professional employee of a public accounting firm, or any other independent contractor or entity that, in connection with the preparation or issuance of any audit report—","The terms ‘‘person associated with a public accounting firm’’ (or with a ‘‘registered public accounting firm’’) and ‘‘associated person of a public accounting firm’’ (or of a ‘‘registered public accounting firm’’) mean any individual proprietor, partner, shareholder, principal, accountant, or other professional employee of a public accounting firm, or any other independent contractor or entity that, in connection with the preparation or issuance of any audit report— (i) shares in the profits of, or receives compensation in any other form from, that firm; or (ii) participates as agent or otherwise on behalf of such accounting firm in any activity of that firm.",Section 2(a)(9)(A),2,KB 2/USA/Sarbanes-Oxley Act.pdf
SOX-DEF-S2-PROFESSIONALSTANDARDS,professional standards,The term ‘‘professional standards’’ means—,"The term ‘‘professional standards’’ means— (A) accounting principles that are— (i) established by the standard setting body described in section 19(b) of the Securities Act of 1933, as amended by this Act, or prescribed by the Commission under section 19(a) of that Act (15 U.S.C. 17a(s)) or section 13(b) of the Securities Exchange Act of 1934 (15 U.S.C. 78a(m)); and (ii) relevant to audit reports for particular issuers, or dealt with in the quality control system of a particular registered public accounting firm; and (B) auditing standards, standards for attestation engagements, quality control policies and procedures, ethical and competency standards, and independence standards (including rules implementing title II) that the Board or the Commission determines— (i) relate to the preparation or issuance of audit reports for issuers; and (ii) are established or adopted by the Board under section 103(a), or are promulgated as rules of the Commission.",Section 2(a)(10),2,KB 2/USA/Sarbanes-Oxley Act.pdf
