source_id,target_id,rel_type,level
SOX-S1,SOX-S1-a,HAS_PROVISION,subsection
SOX-S1,SOX-S1-b,HAS_PROVISION,subsection
SOX-S2,SOX-S2-a,HAS_PROVISION,subsection
SOX-S2-a,SOX-S2-a-1,HAS_PROVISION,paragraph
SOX-S2-a,SOX-S2-a-2,HAS_PROVISION,paragraph
SOX-S2-a,SOX-S2-a-3,HAS_PROVISION,paragraph
SOX-S2-a-3,SOX-S2-a-3-A,HAS_PROVISION,subparagraph
SOX-S2-a-3,SOX-S2-a-3-B,HAS_PROVISION,subparagraph
SOX-S2-a,SOX-S2-a-4,HAS_PROVISION,paragraph
SOX-S2-a-4,SOX-S2-a-4-A,HAS_PROVISION,subparagraph
SOX-S2-a-4,SOX-S2-a-4-B,HAS_PROVISION,subparagraph
SOX-S2-a-4-B,SOX-S2-a-4-B-i,HAS_PROVISION,clause
SOX-S2-a-4-B,SOX-S2-a-4-B-ii,HAS_PROVISION,clause
SOX-S2-a,SOX-S2-a-5,HAS_PROVISION,paragraph
SOX-S2-a,SOX-S2-a-6,HAS_PROVISION,paragraph
SOX-S2-a,SOX-S2-a-7,HAS_PROVISION,paragraph
SOX-S2-a,SOX-S2-a-8,HAS_PROVISION,paragraph
SOX-S2-a,SOX-S2-a-9,HAS_PROVISION,paragraph
SOX-S2-a-9,SOX-S2-a-9-A,HAS_PROVISION,subparagraph
SOX-S2-a-9-A,SOX-S2-a-9-A-i,HAS_PROVISION,clause
SOX-S2-a-9-A,SOX-S2-a-9-A-ii,HAS_PROVISION,clause
SOX-S2-a-9,SOX-S2-a-9-B,HAS_PROVISION,subparagraph
SOX-S2-a-9,SOX-S2-a-9-C,HAS_PROVISION,subparagraph
SOX-S2-a-9-C,SOX-S2-a-9-C-i,HAS_PROVISION,clause
SOX-S2-a-9-C,SOX-S2-a-9-C-ii,HAS_PROVISION,clause
SOX-S2-a-9-C-ii,SOX-S2-a-9-C-ii-I,HAS_PROVISION,subclause
SOX-S2-a-9-C-ii,SOX-S2-a-9-C-ii-II,HAS_PROVISION,subclause
SOX-S2-a,SOX-S2-a-10,HAS_PROVISION,paragraph
SOX-S2-a-10,SOX-S2-a-10-A,HAS_PROVISION,subparagraph
SOX-S2-a-10-A,SOX-S2-a-10-A-i,HAS_PROVISION,clause
SOX-S2-a-10-A,SOX-S2-a-10-A-ii,HAS_PROVISION,clause
SOX-S2-a-10,SOX-S2-a-10-B,HAS_PROVISION,subparagraph
SOX-S2-a-10-B,SOX-S2-a-10-B-i,HAS_PROVISION,clause
SOX-S2-a-10-B,SOX-S2-a-10-B-ii,HAS_PROVISION,clause
SOX-S2-a,SOX-S2-a-11,HAS_PROVISION,paragraph
SOX-S2-a-11,SOX-S2-a-11-A,HAS_PROVISION,subparagraph
SOX-S2-a-11,SOX-S2-a-11-B,HAS_PROVISION,subparagraph
SOX-S2-a,SOX-S2-a-12,HAS_PROVISION,paragraph
SOX-S2-a,SOX-S2-a-13,HAS_PROVISION,paragraph
SOX-S2-a,SOX-S2-a-14,HAS_PROVISION,paragraph
SOX-S2-a,SOX-S2-a-15,HAS_PROVISION,paragraph
SOX-S2-a,SOX-S2-a-16,HAS_PROVISION,paragraph
SOX-S2-a,SOX-S2-a-17,HAS_PROVISION,paragraph
SOX-S2,SOX-S2-b,HAS_PROVISION,subsection
SOX-S3,SOX-S3-a,HAS_PROVISION,subsection
SOX-S3,SOX-S3-b,HAS_PROVISION,subsection
SOX-S3-b,SOX-S3-b-1,HAS_PROVISION,paragraph
SOX-S3,SOX-S3-c,HAS_PROVISION,subsection
SOX-S3-c,SOX-S3-c-1,HAS_PROVISION,paragraph
SOX-S3-c,SOX-S3-c-2,HAS_PROVISION,paragraph
SOX-S3-c,SOX-S3-c-3,HAS_PROVISION,paragraph
SOX-S101,SOX-S101-a,HAS_PROVISION,subsection
SOX-S101,SOX-S101-b,HAS_PROVISION,subsection
SOX-S101,SOX-S101-c,HAS_PROVISION,subsection
SOX-S101-c,SOX-S101-c-1,HAS_PROVISION,paragraph
SOX-S101-c,SOX-S101-c-2,HAS_PROVISION,paragraph
SOX-S101-c,SOX-S101-c-3,HAS_PROVISION,paragraph
SOX-S101-c,SOX-S101-c-4,HAS_PROVISION,paragraph
SOX-S101-c,SOX-S101-c-5,HAS_PROVISION,paragraph
SOX-S101-c,SOX-S101-c-6,HAS_PROVISION,paragraph
SOX-S101-c,SOX-S101-c-7,HAS_PROVISION,paragraph
SOX-S101,SOX-S101-d,HAS_PROVISION,subsection
SOX-S101,SOX-S101-e,HAS_PROVISION,subsection
SOX-S101-e,SOX-S101-e-1,HAS_PROVISION,paragraph
SOX-S101-e,SOX-S101-e-2,HAS_PROVISION,paragraph
SOX-S101-e,SOX-S101-e-3,HAS_PROVISION,paragraph
SOX-S101-e,SOX-S101-e-4,HAS_PROVISION,paragraph
SOX-S101-e-4,SOX-S101-e-4-A,HAS_PROVISION,subparagraph
SOX-S101-e-4,SOX-S101-e-4-B,HAS_PROVISION,subparagraph
SOX-S101-e,SOX-S101-e-5,HAS_PROVISION,paragraph
SOX-S101-e-5,SOX-S101-e-5-A,HAS_PROVISION,subparagraph
SOX-S101-e-5-A,SOX-S101-e-5-A-i,HAS_PROVISION,clause
SOX-S101-e-5-A,SOX-S101-e-5-A-ii,HAS_PROVISION,clause
SOX-S101-e-5,SOX-S101-e-5-B,HAS_PROVISION,subparagraph
SOX-S101-e,SOX-S101-e-6,HAS_PROVISION,paragraph
SOX-S101,SOX-S101-f,HAS_PROVISION,subsection
SOX-S101-f,SOX-S101-f-1,HAS_PROVISION,paragraph
SOX-S101-f,SOX-S101-f-2,HAS_PROVISION,paragraph
SOX-S101-f,SOX-S101-f-3,HAS_PROVISION,paragraph
SOX-S101-f,SOX-S101-f-4,HAS_PROVISION,paragraph
SOX-S101-f,SOX-S101-f-5,HAS_PROVISION,paragraph
SOX-S101-f,SOX-S101-f-6,HAS_PROVISION,paragraph
SOX-S101,SOX-S101-g,HAS_PROVISION,subsection
SOX-S101-g,SOX-S101-g-1,HAS_PROVISION,paragraph
SOX-S101-g,SOX-S101-g-2,HAS_PROVISION,paragraph
SOX-S101-g-2,SOX-S101-g-2-A,HAS_PROVISION,subparagraph
SOX-S101-g-2,SOX-S101-g-2-B,HAS_PROVISION,subparagraph
SOX-S101-g-2,SOX-S101-g-2-C,HAS_PROVISION,subparagraph
SOX-S101-g,SOX-S101-g-3,HAS_PROVISION,paragraph
SOX-S101-g,SOX-S101-g-4,HAS_PROVISION,paragraph
SOX-S101,SOX-S101-h,HAS_PROVISION,subsection
SOX-S102,SOX-S102-a,HAS_PROVISION,subsection
SOX-S102,SOX-S102-b,HAS_PROVISION,subsection
SOX-S102-b,SOX-S102-b-1,HAS_PROVISION,paragraph
SOX-S102-b,SOX-S102-b-2,HAS_PROVISION,paragraph
SOX-S102-b-2,SOX-S102-b-2-A,HAS_PROVISION,subparagraph
SOX-S102-b-2,SOX-S102-b-2-B,HAS_PROVISION,subparagraph
SOX-S102-b-2,SOX-S102-b-2-C,HAS_PROVISION,subparagraph
SOX-S102-b-2,SOX-S102-b-2-D,HAS_PROVISION,subparagraph
SOX-S102-b-2,SOX-S102-b-2-E,HAS_PROVISION,subparagraph
SOX-S102-b-2,SOX-S102-b-2-F,HAS_PROVISION,subparagraph
SOX-S102-b-2,SOX-S102-b-2-G,HAS_PROVISION,subparagraph
SOX-S102-b-2,SOX-S102-b-2-H,HAS_PROVISION,subparagraph
SOX-S102-b,SOX-S102-b-3,HAS_PROVISION,paragraph
SOX-S102-b-3,SOX-S102-b-3-A,HAS_PROVISION,subparagraph
SOX-S102-b-3,SOX-S102-b-3-B,HAS_PROVISION,subparagraph
SOX-S102,SOX-S102-c,HAS_PROVISION,subsection
SOX-S102-c,SOX-S102-c-1,HAS_PROVISION,paragraph
SOX-S102-c,SOX-S102-c-2,HAS_PROVISION,paragraph
