source_id,target_id,rel_type,cited_as
SOX-S2-a-2,SOX-S103,CROSS_REFERENCES,section 103
SOX-S2-a-5,SOX-S101,CROSS_REFERENCES,section 101
SOX-S2-a-9-C,SOX-S3,CROSS_REFERENCES,section 3
SOX-S2-a-9-C-i,SOX-S105,CROSS_REFERENCES,section 105
SOX-S2-a-9-C-ii,SOX-S105,CROSS_REFERENCES,section 105
SOX-S2-a-9-C-ii-II,SOX-S105,CROSS_REFERENCES,section 105
SOX-S2-a-10-B-ii,SOX-S103,CROSS_REFERENCES,section 103(a)
SOX-S2-a-13,SOX-S107,CROSS_REFERENCES,section 107
SOX-S101-c,SOX-S107,CROSS_REFERENCES,section 107
SOX-S101-c-1,SOX-S102,CROSS_REFERENCES,section 102
SOX-S101-c-2,SOX-S103,CROSS_REFERENCES,section 103
SOX-S101-c-3,SOX-S104,CROSS_REFERENCES,section 104
SOX-S101-c-4,SOX-S105,CROSS_REFERENCES,section 105
SOX-S101-e-6,SOX-S107,CROSS_REFERENCES,section 107(d)(3)
SOX-S101-f,SOX-S107,CROSS_REFERENCES,section 107
SOX-S101-f-5,SOX-S109,CROSS_REFERENCES,section 109
SOX-S102-c-2,SOX-S105,CROSS_REFERENCES,section 105(d)
SOX-S102-c-2,SOX-S107,CROSS_REFERENCES,section 107
SOX-S103-a-2-A-iii,SOX-S404,CROSS_REFERENCES,section 404
SOX-S103-a-2-B-vii,SOX-S1,CROSS_REFERENCES,section 1
SOX-S103-a-3-A-i,SOX-S107,CROSS_REFERENCES,section 107
SOX-S103-a-3-B,SOX-S101,CROSS_REFERENCES,section 101(d)
SOX-S103-a-3-B,SOX-S107,CROSS_REFERENCES,section 107
SOX-S103-c-1,SOX-S3,CROSS_REFERENCES,section 3
SOX-S103-d,SOX-S101,CROSS_REFERENCES,section 101
SOX-S104-a-2-C,SOX-S107,CROSS_REFERENCES,section 107
SOX-S104-a-2-D,SOX-S102,CROSS_REFERENCES,section 102
SOX-S104-e,SOX-S103,CROSS_REFERENCES,section 103
SOX-S104-g-2,SOX-S105,CROSS_REFERENCES,section 105
SOX-S105-b-3-B,SOX-S107,CROSS_REFERENCES,section 107
SOX-S105-b-5-A,SOX-S104,CROSS_REFERENCES,section 104
SOX-S106-a-1,SOX-S102,CROSS_REFERENCES,section 102
SOX-S107-b-2,SOX-S103,CROSS_REFERENCES,section 103(a)(3)(B)
SOX-S107-c-2,SOX-S105,CROSS_REFERENCES,section 105
SOX-S107-c-2-A,SOX-S105,CROSS_REFERENCES,section 105
SOX-S107-c-2-E,SOX-S107,CROSS_REFERENCES,section 107
SOX-S109-a,SOX-S108,CROSS_REFERENCES,section 108
SOX-S109-b,SOX-S101,CROSS_REFERENCES,section 101(d)
SOX-S109-c-1,SOX-S102,CROSS_REFERENCES,section 102
SOX-S110-5-B-ii,SOX-S103,CROSS_REFERENCES,section 103(a)
SOX-S201-b,SOX-S107,CROSS_REFERENCES,section 107
SOX-S302-b,SOX-S302,CROSS_REFERENCES,section 302
SOX-S306-a-5,SOX-S101,CROSS_REFERENCES,section 101
SOX-S306-b-2,SOX-S101,CROSS_REFERENCES,section 101
