country,certification_body_name,accreditation,services_offered,nis2_context_approved,iso27001_certification,website
Belgium,SGS Belgium NV,BELAC,ISO/IEC 27001:2022 certification for NIS2,TRUE,TRUE,https://www.sgs.com/en-be
Belgium,Amtivo Ireland,CCB Authorization,ISO/IEC 27001:2022 certification for NIS2,TRUE,TRUE,https://amtivo.com
Belgium,Bureau Veritas Belgium,BELAC,ISO/IEC 27001 certification,TRUE,TRUE,https://www.bureauveritas.be
Belgium,Lloyd's Register EMEA,Multiple accreditations,ISO/IEC 27001 certification,TRUE,TRUE,https://www.lr.org
Belgium,TÜV Rheinland,DAkkS / BELAC,ISO/IEC 27001 certification,TRUE,TRUE,https://www.tuv.com
Belgium,BSI Group Belgium,UKAS / BELAC,ISO/IEC 27001:2022 certification,TRUE,TRUE,https://www.bsigroup.com
Belgium,Vinçotte (Kiwa Belgium),BELAC,ISO/IEC 27001 certification,TRUE,TRUE,https://www.vincotte.be
Germany,TÜV SÜD,DAkkS,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.tuvsud.com
Germany,DQS GmbH,DAkkS,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.dqs.de
Germany,TÜV Rheinland,DAkkS,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.tuv.com
Germany,DEKRA Certification GmbH,DAkkS,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.dekra.com
Netherlands,DNV Business Assurance,RvA,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.dnv.com
Netherlands,Lloyd's Register Nederland,RvA,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.lr.org
Ireland,NSAI,INAB,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.nsai.ie
Ireland,BSI Group Ireland,UKAS,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.bsigroup.com
France,AFNOR Certification,COFRAC,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://certification.afnor.org
France,Bureau Veritas Certification France,COFRAC,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.bureauveritas.fr
Italy,ICMQ S.p.A.,ACCREDIA,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.icmq.it
Italy,RINA Services S.p.A.,ACCREDIA,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.rina.org
Spain,AENOR,ENAC,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.aenor.com
Spain,Bureau Veritas Spain,ENAC,ISO/IEC 27001 certification,Data not disclosed,TRUE,https://www.bureauveritas.es
