source_id,target_id,rel_type,size,catalogs,source_document
AAT-01,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.1,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.1,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.1,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.2,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.2,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.2,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.3,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.3,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.3,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.1,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.1,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.1,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.2,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.2,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.2,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
