solution_id,size,description,control_count,catalogs,source_document
sol_enterprise_01ad08df55,Enterprise,"∙ Azure Update Manager (https://azure.microsoft.com)
∙ ManageEngine Endpoint Central (https://manageengine.com)",1,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_01e969927a,Enterprise,∙ Documented / assigned Separation of Duties (SoD),1,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_01f95a23b5,Enterprise,"∙ IT Asset Management (ITAM) program
∙ ITIL 4 (https://axelos.com)",1,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_020370de95,Enterprise,"∙ Data Protection Impact Assessment (DPIA)
∙ Defined business processes
∙ Product / project management
∙ Defined technical requirements
∙ Defined business requirements
∙ System Development Lifecycle (SDLC) governance / oversight",1,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_02433e47ff,Enterprise,"∙ Microsoft Active Directory (https://microsoft.com)
∙ Microsoft Entra (https://microsoft.com)
∙ AWS IAM (https://aws.amazon.com)",27,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_02dd2abe3a,Enterprise,∙ CimTrak Integrity Suite (https://cimcor.com/cimtrak),6,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_049c1bd030,Enterprise,"∙ Secure Baseline Configurations (SBC)
∙ Antimalware software",2,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_05fe680487,Enterprise,∙ Unified Scoping Guide (https://unified-scoping-guide.com),4,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_06de5955b9,Enterprise,"∙ Data Protection Impact Assessment (DPIA)
∙ Security and network architecture diagrams
∙ Data Flow Diagram (DFD)
∙ Cybersecurity Supply Chain Risk Management (C-SCRM) program",1,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_07095e4825,Enterprise,"∙ Data Protection Impact Assessment (DPIA)
∙ Product / project management",1,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_07ca48987a,Enterprise,∙ ComplianceForge - Digital Security Program (DSP) (https://complianceforge.com),1,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_08fb845bc9,Enterprise,"∙ Business Impact Analysis (BIA)
∙ Criticality assessments",2,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_09984c69f8,Enterprise,"∙ Configuration Management (CM) program
∙ Technology maintenance program
∙ Technology maintenance program
∙ Vulnerability & Patch Management Program (VPMP)
∙ Configuration Management Database (CMDB)",1,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_09d4d452b3,Enterprise,"∙ Risk Management Program (RMP)
∙ Documented risk catalog",1,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_0a41c746b9,Enterprise,∙ IT maintenance program,1,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_0a70f24ec0,Enterprise,∙ Non-Disclosure Agreements (NDAs),2,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_0b8a31cf80,Enterprise,"∙ Security Incident Event Manager (SIEM)
∙ Managed Security Services Provider (MSSP)",19,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_0cc7aa59c5,Enterprise,"∙ Chain of custody procedures
∙ OpenText Encase (https://opentext.com)
∙ AccessData Forensic Toolkit (FTK) (https://pluralsight.com)
∙ Extero (https://exterro.com)",1,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
sol_enterprise_0ccd971d22,Enterprise,"∙ Steering committee
∙ Architectural review board
∙ System Security & Privacy Plan (SSPP)
∙ Security architecture roadmaps",2,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
