source_id,target_id,rel_type,function_name,catalogs,source_document
AAT-01,csf_govern,MAPS_TO_FUNCTION,Govern,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.1,csf_govern,MAPS_TO_FUNCTION,Govern,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.2,csf_protect,MAPS_TO_FUNCTION,Protect,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.3,csf_identify,MAPS_TO_FUNCTION,Identify,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02,csf_identify,MAPS_TO_FUNCTION,Identify,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.1,csf_identify,MAPS_TO_FUNCTION,Identify,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.2,csf_identify,MAPS_TO_FUNCTION,Identify,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.3,csf_govern,MAPS_TO_FUNCTION,Govern,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-03,csf_identify,MAPS_TO_FUNCTION,Identify,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-03.1,csf_identify,MAPS_TO_FUNCTION,Identify,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04,csf_identify,MAPS_TO_FUNCTION,Identify,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.1,csf_identify,MAPS_TO_FUNCTION,Identify,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
