control_id,title,description,domain,weighting,csf_function,solution_count,catalogs,source_document
AAT-01,Artificial Intelligence (AI) & Autonomous Technologies Governance,"Mechanisms exist to ensure policies, processes, procedures and practices related to the mapping, measuring and managing of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks are in place, transparent and implemented effectively.",AI & Emerging Technology Security,10,Govern,3,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.1,AI & Autonomous Technologies-Related Legal Requirements Definition,"Mechanisms exist to identify, understand, document and manage applicable statutory and regulatory requirements for Artificial Intelligence (AI) and Autonomous Technologies (AAT).",AI & Emerging Technology Security,8,Govern,3,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.2,Trustworthy AI & Autonomous Technologies,"Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) are designed to be reliable, safe, fair, secure, resilient, transparent, explainable and data privacy-enhanced to minimize emergent properties or unintended consequences.",AI & Emerging Technology Security,10,Protect,3,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.3,AI & Autonomous Technologies Value Sustainment,Mechanisms exist to sustain the value of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AI & Emerging Technology Security,1,Identify,3,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-01.4,AI Model & Agent Inventory & Lifecycle Management,,AI & Emerging Technology Security,,,0,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02,Situational Awareness of AI & Autonomous Technologies,Mechanisms exist to develop and maintain an inventory of Artificial Intelligence (AI) and Autonomous Technologies (AAT) (internal and third-party).,AI & Emerging Technology Security,9,Identify,3,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.1,AI & Autonomous Technologies Risk Mapping,"Mechanisms exist to identify Artificial Intelligence (AI) and Autonomous Technologies (AAT) in use and map those components to potential legal risks, including statutory and regulatory compliance requirements.",AI & Emerging Technology Security,9,Identify,3,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.2,AI & Autonomous Technologies Internal Controls,Mechanisms exist to identify and document internal cybersecurity & data privacy controls for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AI & Emerging Technology Security,9,Identify,3,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.3,Adequate Protections For AI & Autonomous Technologies,Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) include reasonable cybersecurity and data protections that are commensurate with assessed risks and threats.,AI & Emerging Technology Security,10,Govern,0,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-02.4,AI Threat Modeling & Risk Assessment,,AI & Emerging Technology Security,,,0,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-03,AI & Autonomous Technologies Context Definition,"Mechanisms exist to establish and document the context surrounding Artificial Intelligence (AI) and Autonomous Technologies (AAT), including:
(1) Intended purposes;
(2) Potentially beneficial uses;
(3) Context-specific laws and regulations;
(4) Norms and expectations; and
(5) Prospective settings in which the system(s) will be deployed.",AI & Emerging Technology Security,8,Identify,3,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-03.1,AI & Autonomous Technologies Mission and Goals Definition,Mechanisms exist to define and document the organization's mission and defined goals for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AI & Emerging Technology Security,8,Identify,3,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-03.2,Model & AI Agent Documentation,,AI & Emerging Technology Security,,,0,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
