source_id,target_id,rel_type,clause_id
SEC-3,DEF-a,DEFINES,SEC-3-a
SEC-3,DEF-b,DEFINES,SEC-3-b
SEC-3,DEF-c,DEFINES,SEC-3-c
SEC-3,DEF-d,DEFINES,SEC-3-d
SEC-3,DEF-e,DEFINES,SEC-3-e
SEC-3,DEF-f,DEFINES,SEC-3-f
SEC-3,DEF-g,DEFINES,SEC-3-g
SEC-3,DEF-h,DEFINES,SEC-3-h
SEC-3,DEF-i,DEFINES,SEC-3-i
SEC-3,DEF-j,DEFINES,SEC-3-j
SEC-3,DEF-k,DEFINES,SEC-3-k
SEC-3,DEF-l,DEFINES,SEC-3-l
SEC-3,DEF-m,DEFINES,SEC-3-m
SEC-3,DEF-n,DEFINES,SEC-3-n
SEC-3,DEF-o,DEFINES,SEC-3-o
SEC-3,DEF-p,DEFINES,SEC-3-p
SEC-3,DEF-q,DEFINES,SEC-3-q
SEC-3,DEF-r,DEFINES,SEC-3-r
SEC-3,DEF-s,DEFINES,SEC-3-s
SEC-3,DEF-t,DEFINES,SEC-3-t
