right_id,name,text,clause_id,section_id,source_document
RIGHT-a,Right to be informed,Right to be informed.,SEC-34-a,SEC-34,KB 2/Philippines/IRR-of-the-DPA.pdf
RIGHT-b,Right to object,"Right to object. The data subject shall have the right to object to the processing of his or her personal data, including processing for direct marketing, automated processing or profiling. The data subject shall also be notified and given an opportunity to withhold consent to the processing in case of changes or any amendment to the information supplied or declared to the data subject in the preceding paragraph. When a data subject objects or withholds consent, the personal information controller shall no longer process the personal data, unless:",SEC-34-b,SEC-34,KB 2/Philippines/IRR-of-the-DPA.pdf
RIGHT-c,Right to Access,"Right to Access. The data subject has the right to reasonable access to, upon demand, the following:",SEC-34-c,SEC-34,KB 2/Philippines/IRR-of-the-DPA.pdf
RIGHT-d,Right to rectification,"Right to rectification. The data subject has the right to dispute the inaccuracy or error in the personal data and have the personal information controller correct it immediately and accordingly, unless the request is vexatious or otherwise unreasonable. If the personal data has been corrected, the personal information controller shall ensure the accessibility of both the new and the retracted information and the simultaneous receipt of the new and the retracted information by the intended recipients thereof: Provided, That recipients or third parties who have previously received such processed personal data shall be informed of its inaccuracy and its rectification, upon reasonable request of the data subject.",SEC-34-d,SEC-34,KB 2/Philippines/IRR-of-the-DPA.pdf
RIGHT-e,Right to Erasure or Blocking,"Right to Erasure or Blocking. The data subject shall have the right to suspend, withdraw or order the blocking, removal or destruction of his or her personal data from the personal information controller’s filing system.",SEC-34-e,SEC-34,KB 2/Philippines/IRR-of-the-DPA.pdf
RIGHT-f,Right to damages,"Right to damages. The data subject shall be indemnified for any damages sustained due to such inaccurate, incomplete, outdated, false, unlawfully obtained or unauthorized use of personal data, taking into account any violation of his or her rights and freedoms as data subject.",SEC-34-f,SEC-34,KB 2/Philippines/IRR-of-the-DPA.pdf
RIGHT-portability,Right to Data Portability,"Where his or her personal data is processed by electronic means and in a structured and commonly used format, the data subject shall have the right to obtain from the personal information controller a copy of such data in an electronic or structured format that is commonly used and allows for further use by the data subject. The exercise of this right shall primarily take into account the right of data subject to have control over his or her personal data being processed based on consent or contract, for commercial purpose, or through automated means. The Commission may specify the electronic format referred to above, as well as the technical standards, modalities, procedures and other rules for their transfer.",,SEC-36,KB 2/Philippines/IRR-of-the-DPA.pdf
