clause_id,label,level,citation,text,section_id,parent_id,parent_type,source_document
SEC-3-t-3,3.,2,Section 3(t)(3),"Issued by government agencies peculiar to an individual which includes, but is not limited to, social security numbers, previous or current health records, licenses or its denials, suspension or revocation, and tax returns; and",SEC-3,SEC-3-t,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-t-4,4.,2,Section 3(t)(4),Specifically established by an executive order or an act of Congress to be kept classified.,SEC-3,SEC-3-t,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-4-a,a.,1,Section 4(a),The natural or juridical person involved in the processing of personal data is found or established in the Philippines;,SEC-4,SEC-4,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-4-b,b.,1,Section 4(b),"The act, practice or processing relates to personal data about a Philippine citizen or Philippine resident;",SEC-4,SEC-4,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-4-c,c.,1,Section 4(c),The processing of personal data is being done in the Philippines; or,SEC-4,SEC-4,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-4-d,d.,1,Section 4(d),"The act, practice or processing of personal data is done or engaged in by an entity with links to the Philippines, with due consideration to international law and comity, such as, but not limited to, the following:",SEC-4,SEC-4,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-4-d-1,1.,2,Section 4(d)(1),"Use of equipment located in the country, or maintains an office, branch or agency in the Philippines for processing of personal data;",SEC-4,SEC-4-d,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-4-d-2,2.,2,Section 4(d)(2),A contract is entered in the Philippines;,SEC-4,SEC-4-d,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-4-d-3,3.,2,Section 4(d)(3),A juridical entity unincorporated in the Philippines but has central management and control in the country;,SEC-4,SEC-4-d,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-4-d-4,4.,2,Section 4(d)(4),"An entity that has a branch, agency, office or subsidiary in the Philippines and the parent or affiliate of the Philippine entity has access to personal data;",SEC-4,SEC-4-d,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-4-d-5,5.,2,Section 4(d)(5),An entity that carries on business in the Philippines;,SEC-4,SEC-4-d,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-4-d-6,6.,2,Section 4(d)(6),An entity that collects or holds personal data in the Philippines.,SEC-4,SEC-4-d,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-a,a.,1,Section 5(a),"Information processed for purpose of allowing public access to information that fall within matters of public concern, pertaining to:",SEC-5,SEC-5,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-a-1,1.,2,Section 5(a)(1),"Information about any individual who is or was an officer or employee of government that relates to his or her position or functions, including:",SEC-5,SEC-5-a,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-a-1-a,(a),3,Section 5(a)(1)(a),The fact that the individual is or was an officer or employee of the government;,SEC-5,SEC-5-a-1,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-a-1-b,(b),3,Section 5(a)(1)(b),"The title, office address, and office telephone number of the individual;",SEC-5,SEC-5-a-1,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-a-1-c,(c),3,Section 5(a)(1)(c),"The classification, salary range, and responsibilities of the position held by the individual; and",SEC-5,SEC-5-a-1,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-a-1-d,(d),3,Section 5(a)(1)(d),The name of the individual on a document he or she prepared in the course of his or her employment with the government;,SEC-5,SEC-5-a-1,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-a-2,2.,2,Section 5(a)(2),"Information about an individual who is or was performing a service under contract for a government institution, but only in so far as it relates to such service, including the the name of the individual and the terms of his or her contract;",SEC-5,SEC-5-a,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-a-3,3.,2,Section 5(a)(3),"Information relating to a benefit of a financial nature conferred on an individual upon the discretion of the government, such as the granting of a license or permit, including the name of the individual and the exact nature of the benefit: Provided, that they do not include benefits given in the course of an ordinary transaction or as a matter of right;",SEC-5,SEC-5-a,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-b,b.,1,Section 5(b),"Personal information processed for journalistic, artistic or literary purpose, in order to uphold freedom of speech, of expression, or of the press, subject to requirements of other applicable law or regulations;",SEC-5,SEC-5,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-c,c.,1,Section 5(c),"Personal information that will be processed for research purpose, intended for a public benefit, subject to the requirements of applicable laws, regulations, or ethical standards;",SEC-5,SEC-5,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-d,d.,1,Section 5(d),"Information necessary in order to carry out the functions of public authority, in accordance with a constitutionally or statutorily mandated function pertaining to law enforcement or regulatory function, including the performance of the functions of the independent, central monetary authority, subject to restrictions provided by law. Nothing in this Act shall be construed as having amended or repealed Republic Act No. 1405, otherwise known as the Secrecy of Bank Deposits Act; Republic Act No. 6426, otherwise known as the Foreign Currency Deposit Act; and Republic Act No. 9510, otherwise known as the Credit Information System Act (CISA);",SEC-5,SEC-5,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-e,e.,1,Section 5(e),"Information necessary for banks, other financial institutions under the jurisdiction of the independent, central monetary authority or Bangko Sentral ng Pilipinas, and other bodies authorized by law, to the extent necessary to comply with Republic Act No. 9510 (CISA), Republic Act No. 9160, as amended, otherwise known as the Anti-Money Laundering Act, and other applicable laws;",SEC-5,SEC-5,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-5-f,f.,1,Section 5(f),"Personal information originally collected from residents of foreign jurisdictions in accordance with the laws of those foreign jurisdictions, including any applicable data privacy laws, which is being processed in the Philippines. The burden of proving the law of the foreign jurisdiction falls on the person or body seeking exemption. In the absence of proof, the applicable law shall be presumed to be the Act and these Rules: Provided, that the non-applicability of the Act or these Rules do not extend to personal information controllers or personal information processors, who remain subject to the requirements of implementing security measures for personal data protection: Provided further, that the processing of the information provided in the preceding paragraphs shall be exempted from the requirements of the Act only to the minimum extent necessary to achieve the specific purpose, function, or activity.",SEC-5,SEC-5,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-6-a,a.,1,Section 6(a),"Unless directly incompatible or inconsistent with the preceding sections in relation to the purpose, function, or activities the non-applicability concerns, the personal information controller or personal information processor shall uphold the rights of data subjects, and adhere to general data privacy principles and the requirements of lawful processing.",SEC-6,SEC-6,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-6-b,b.,1,Section 6(b),The burden of proving that the Act and these Rules are not applicable to a particular information falls on those involved in the processing of personal data or the party claiming the non-applicability.,SEC-6,SEC-6,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-6-c,c.,1,Section 6(c),"In all cases, the determination of any exemption shall be liberally interpreted in favor of the rights and interests of the data subject.",SEC-6,SEC-6,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-7-a,a.,1,Section 7(a),"Publishers, editors, or duly accredited reporters of any newspaper, magazine or periodical of general circulation shall not be compelled to reveal the source of any news report or information appearing in said publication if it was related in any confidence to such publisher, editor, or reporter.",SEC-7,SEC-7,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-7-b,b.,1,Section 7(b),"Publishers, editors, or duly accredited reporters who are likewise personal information controllers or personal information processors within the meaning of the law are still bound to follow the Data Privacy Act and related issuances with regard to the processing of personal data, upholding rights of their data subjects and maintaining compliance with other provisions that are not incompatible with the protection provided by Republic Act No. 53.",SEC-7,SEC-7,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-9-a,a.,1,Section 9(a),"Rule Making. The Commission shall develop, promulgate, review or amend rules and regulations for the effective implementation of the Act. This includes:",SEC-9,SEC-9,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-9-a-1,1.,2,Section 9(a)(1),"Recommending organizational, physical and technical security measures for personal data protection, encryption, and access to sensitive personal information maintained by government agencies, considering the most appropriate standard recognized by the information and communications technology industry, as may be necessary;",SEC-9,SEC-9-a,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-9-a-2,2.,2,Section 9(a)(2),"Specifying electronic format and technical standards, modalities and procedures for data portability, as may be necessary;",SEC-9,SEC-9-a,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-9-a-3,3.,2,Section 9(a)(3),"Issuing guidelines for organizational, physical, and technical security measures for personal data protection, taking into account the nature of the personal data to be protected, the risks presented by the processing, the size of the organization and complexity of its operations, current data privacy best practices, cost of security implementation, and the most appropriate standard recognized by the information and communications technology industry, as may be necessary;",SEC-9,SEC-9-a,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-9-a-4,4.,2,Section 9(a)(4),"Consulting with relevant regulatory agencies in the formulation, review, amendment, and administration of privacy codes, applying the standards set out in the Act, with respect to the persons, entities, business activities, and business sectors that said regulatory bodies are authorized to principally regulate pursuant to law;",SEC-9,SEC-9-a,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
