penalty_id,offense,imprisonment,fine_minimum,fine_maximum,text,source_node_id,source_node_type,section_id,source_document
PEN-S56,Unauthorized Access or Intentional Breach,one (1) year to three (3) years,"Five hundred thousand pesos (Php500,000.00)","Two million pesos (Php2,000,000.00)","A penalty of imprisonment ranging from one (1) year to three (3) years and a fine of not less than Five hundred thousand pesos (Php500,000.00) but not more than Two million pesos (Php2,000,000.00) shall be imposed on persons who knowingly and unlawfully, or violating data confidentiality and security data systems, breaks in any way into any system where personal and sensitive personal information are stored.",SEC-56,Section,SEC-56,KB 2/Philippines/IRR-of-the-DPA.pdf
PEN-S57,Concealment of Security Breaches Involving Sensitive Personal Information,one (1) year and six (6) months to five (5) years,"Five hundred thousand pesos (Php500,000.00)","One million pesos (Php1,000,000.00)","A penalty of imprisonment ranging from one (1) year and six (6) months to five (5) years and a fine of not less than Five hundred thousand pesos (Php500,000.00) but not more than One million pesos (Php1,000,000.00) shall be imposed on persons who, after having knowledge of a security breach and of the obligation to notify the Commission pursuant to Section 20(f) of the Act, intentionally or by omission conceals the fact of such security breach.",SEC-57,Section,SEC-57,KB 2/Philippines/IRR-of-the-DPA.pdf
PEN-S58,Malicious Disclosure,one (1) year and six (6) months to five (5) years,"Five hundred thousand pesos (Php500,000.00)","One million pesos (Php1,000,000.00)","Any personal information controller or personal information processor, or any of its officials, employees or agents, who, with malice or in bad faith, discloses unwarranted or false information relative to any personal information or sensitive personal information obtained by him or her, shall be subject to imprisonment ranging from one (1) year and six (6) months to five (5) years and a fine of not less than Five hundred thousand pesos (Php500,000.00) but not more than One million pesos (Php1,000,000.00).",SEC-58,Section,SEC-58,KB 2/Philippines/IRR-of-the-DPA.pdf
PEN-S60,Combination or Series of Acts,three (3) years to six (6) years,"One million pesos (Php1,000,000.00)","Five million pesos (Php5,000,000.00)","Any combination or series of acts as defined in Sections 52 to 59 shall make the person subject to imprisonment ranging from three (3) years to six (6) years and a fine of not less than One million pesos (Php1,000,000.00) but not more than Five million pesos (Php5,000,000.00).",SEC-60,Section,SEC-60,KB 2/Philippines/IRR-of-the-DPA.pdf
PEN-S52-a,Unauthorized Processing of Personal Information and Sensitive Personal Information,one (1) year to three (3) years,"Five hundred thousand pesos (Php500,000.00)","Two million pesos (Php2,000,000.00)","A penalty of imprisonment ranging from one (1) year to three (3) years and a fine of not less than Five hundred thousand pesos (Php500,000.00) but not more than Two million pesos (Php2,000,000.00) shall be imposed on persons who process personal information without the consent of the data subject, or without being authorized under the Act or any existing law.",SEC-52-a,Clause,SEC-52,KB 2/Philippines/IRR-of-the-DPA.pdf
PEN-S52-b,Unauthorized Processing of Personal Information and Sensitive Personal Information,three (3) years to six (6) years,"Five hundred thousand pesos (Php500,000.00)","Four million pesos (Php4,000,000.00)","A penalty of imprisonment ranging from three (3) years to six (6) years and a fine of not less than Five hundred thousand pesos (Php500,000.00) but not more than Four million pesos (Php4,000,000.00) shall be imposed on persons who process sensitive personal information without the consent of the data subject, or without being authorized under the Act or any existing law.",SEC-52-b,Clause,SEC-52,KB 2/Philippines/IRR-of-the-DPA.pdf
PEN-S53-a,Accessing Personal Information and Sensitive Personal Information Due to Negligence,one (1) year to three (3) years,"Five hundred thousand pesos (Php500,000.00)","Two million pesos (Php2,000,000.00)","A penalty of imprisonment ranging from one (1) year to three (3) years and a fine of not less than Five hundred thousand pesos (Php500,000.00) but not more than Two million pesos (Php2,000,000.00) shall be imposed on persons who, due to negligence, provided access to personal information without being authorized under the Act or any existing law.",SEC-53-a,Clause,SEC-53,KB 2/Philippines/IRR-of-the-DPA.pdf
PEN-S53-b,Accessing Personal Information and Sensitive Personal Information Due to Negligence,three (3) years to six (6) years,"Five hundred thousand pesos (Php500,000.00)","Four million pesos (Php4,000,000.00)","A penalty of imprisonment ranging from three (3) years to six (6) years and a fine of not less than Five hundred thousand pesos (Php500,000.00) but not more than Four million pesos (Php4,000,000.00) shall be imposed on persons who, due to negligence, provided access to sensitive personal information without being authorized under the Act or any existing law.",SEC-53-b,Clause,SEC-53,KB 2/Philippines/IRR-of-the-DPA.pdf
PEN-S54-a,Improper Disposal of Personal Information and Sensitive Personal Information,six (6) months to two (2) years,"One hundred thousand pesos (Php100,000.00)","Five hundred thousand pesos (Php500,000.00)","A penalty of imprisonment ranging from six (6) months to two (2) years and a fine of not less than One hundred thousand pesos (Php100,000.00) but not more than Five hundred thousand pesos (Php500,000.00) shall be imposed on persons who knowingly or negligently dispose, discard, or abandon the personal information of an individual in an area accessible to the public or has otherwise placed the personal information of an individual in its container for trash collection.",SEC-54-a,Clause,SEC-54,KB 2/Philippines/IRR-of-the-DPA.pdf
PEN-S54-b,Improper Disposal of Personal Information and Sensitive Personal Information,one (1) year to three (3) years,"One hundred thousand pesos (Php100,000.00)","One million pesos (Php1,000,000.00)","A penalty of imprisonment ranging from one (1) year to three (3) years and a fine of not less than One hundred thousand pesos (Php100,000.00) but not more than One million pesos (Php1,000,000.00) shall be imposed on persons who knowingly or negligently dispose, discard or abandon the sensitive personal information of an individual in an area accessible to the public or has otherwise placed the sensitive personal information of an individual in its container for trash collection.",SEC-54-b,Clause,SEC-54,KB 2/Philippines/IRR-of-the-DPA.pdf
