source_id,target_id,rel_type,term
ART3-P1,DEF-DATA,DEFINES_TERM,data
ART3-P2,DEF-DATA-HANDLING,DEFINES_TERM,data handling
ART3-P3,DEF-DATA-SECURITY,DEFINES_TERM,data security
ART21-P2,DEF-CORE-DATA,DEFINES_TERM,core data of the State
