system_id,name,article_id,paragraph_id,text,source_document
SYS-CLASSIFIED-GRADED,classified and graded data protection system,ART21,ART21-P1,"The State shall establish a classified and graded data protection system, and carry out classified and graded data protection in accordance with the degree of importance of data to economic and social development, and the damage to national security, public interests, or the legitimate rights and interests of individuals or organizations in the event that data are tampered with, destroyed, leaked, or illegally obtained or used. The national data security coordination mechanism shall make overall planning for and coordinate relevant departments in formulating the catalogues for important data and strengthening the protection of important data.",KB 2/China/Data Security Law of China.pdf
SYS-IMPORTANT-DATA-CATALOGUE,catalogues for important data,ART21,ART21-P1,"The State shall establish a classified and graded data protection system, and carry out classified and graded data protection in accordance with the degree of importance of data to economic and social development, and the damage to national security, public interests, or the legitimate rights and interests of individuals or organizations in the event that data are tampered with, destroyed, leaked, or illegally obtained or used. The national data security coordination mechanism shall make overall planning for and coordinate relevant departments in formulating the catalogues for important data and strengthening the protection of important data.",KB 2/China/Data Security Law of China.pdf
SYS-REGIONAL-CATALOGUE,specific catalogue for important data for the respective region and department,ART21,ART21-P3,"Each region and department shall, in accordance with the classified and graded data protection system, determine the specific catalogue for important data for the respective region and department, and in relevant industries and areas, and undertake special protection for the data included in the catalogue.",KB 2/China/Data Security Law of China.pdf
SYS-RISK-ASSESSMENT-MECH,"centralized, efficient, and authoritative mechanism for data security risk assessment, reporting, information sharing, supervision, and early warning",ART22,ART22-P1,"The State shall establish a centralized, efficient, and authoritative mechanism for data security risk assessment, reporting, information sharing, supervision, and early warning. The national data security coordination mechanism shall make overall planning for and coordinate relevant departments in strengthening their work in the collection, analysis, determination, and early warning of the data security risk information.",KB 2/China/Data Security Law of China.pdf
SYS-EMERGENCY-RESPONSE,data security emergency response mechanism,ART23,ART23-P1,"The State shall establish a data security emergency response mechanism. In the event of a data security incident, the relevant competent department shall, in accordance with the law, activate a contingency plan, adopt appropriate emergency response measures, prevent expansion of harms, eliminate security hazards, and promptly publish the warning information related to the public.",KB 2/China/Data Security Law of China.pdf
SYS-SECURITY-REVIEW,data security review system,ART24,ART24-P1,"The State shall establish a data security review system, where data handling activities that affect or may affect the national security will undergo national security review.",KB 2/China/Data Security Law of China.pdf
SYS-EXPORT-CONTROL,export controls on data belonging to controlled categories,ART25,ART25-P1,The State shall implement export controls in accordance with the law on data belonging to controlled categories and those relevant to safeguarding national security and interests and fulfilling international obligations.,KB 2/China/Data Security Law of China.pdf
SYS-RECIPROCAL-MEASURES,equivalent measures against discriminatory measures,ART26,ART26-P1,"For any country or region that adopts discriminatory prohibitions, limitations, or other similar measures related to data and data development and use technology, against the People's Republic of China, in investment, trade and other areas, the People's Republic of China may, depending on the actual circumstances, adopt the equivalent measures against such country or region.",KB 2/China/Data Security Law of China.pdf
SYS-NATIONAL-COORD-MECH,national data security coordination mechanism,ART5,ART5-P1,"The central leadership organ of national security is responsible for the decision-making, deliberation and coordination in respect of data security work, and for researching, formulating, and guiding the implementation of national data security strategies and related significant guidelines and policies; coordinating the major matters and key work regarding national data security and establishing a national data security coordination mechanism.",KB 2/China/Data Security Law of China.pdf
