authority_id,name,paragraph_id,role_text,source_document
AUTH-CENTRAL-NS-ORGAN,The central leadership organ of national security,ART5-P1,"The central leadership organ of national security is responsible for the decision-making, deliberation and coordination in respect of data security work, and for researching, formulating, and guiding the implementation of national data security strategies and related significant guidelines and policies; coordinating the major matters and key work regarding national data security and establishing a national data security coordination mechanism.",KB 2/China/Data Security Law of China.pdf
AUTH-REGIONS-DEPTS,All regions and departments,ART6-P1,All regions and departments assume primary responsibility for the data collected and generated in the work of their respective regions or departments as well as for data security.,KB 2/China/Data Security Law of China.pdf
AUTH-INDUSTRY-DEPTS,"Competent departments of industries such as industry, telecommunications, transport, finance, natural resources, hygiene and health, education, and science and technology",ART6-P2,"Competent departments of industries such as industry, telecommunications, transport, finance, natural resources, hygiene and health, education, and science and technology are responsible for the supervision of data security in respective industries or sectors.",KB 2/China/Data Security Law of China.pdf
AUTH-PUBLIC-SECURITY,Public security organs and national security organs,ART6-P3,"Public security organs and national security organs are, in accordance with this Law and the relevant laws and administrative regulations, responsible for the supervision of data security within their respective scope of duties.",KB 2/China/Data Security Law of China.pdf
AUTH-CAC,The national cyberspace administration authority,ART6-P4,"The national cyberspace administration authority is, in accordance with this Law and the relevant laws and administrative regulations, responsible for the comprehensive coordination of online data security and related supervision work.",KB 2/China/Data Security Law of China.pdf
AUTH-STANDARDIZATION,The administrative department of standardization under the State Council and the relevant departments of the State Council,ART17-P1,"The State shall advance the construction of the standard systems for the data development and use technology and those for data security. The administrative department of standardization under the State Council and the relevant departments of the State Council shall, according to their respective duties, organize the formulation and timely revision of standards concerning data development and use technologies and products and data security. The State shall support enterprises, social organizations, and education and research institutions to participate in the formulation of standards.",KB 2/China/Data Security Law of China.pdf
AUTH-CMC,The Central Military Commission,ART54-P1,Measures for protecting military data will be separately formulated by the Central Military Commission.,KB 2/China/Data Security Law of China.pdf
