external_instrument_id,name,cited_in_paragraph_id,source_document
EXT-CSL,Cybersecurity Law of the People's Republic of China,ART31-P1,KB 2/China/Data Security Law of China.pdf
EXT-STATE-SECRETS,Law of the People's Republic of China on Protecting State Secrets,ART53-P1,KB 2/China/Data Security Law of China.pdf
