compliancerequirement_id,table15_sn,requirement,standard_id,applicability,periodicity,source_document
CR-01,1,Cyber resilience third-party assessment using CCI (GV.OV.S4),GV.OV.S4,MIIs,Half-yearly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-02,1,Cyber resilience self-assessment using CCI (GV.OV.S4),GV.OV.S4,Qualified REs,Annually,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-03,2,Submission of CCI self-assessment evidence by MIIs and Qualified REs (GV.OV.S4),GV.OV.S4,MIIs and Qualified REs,Within 15 days of completion of CCI assessment (based on the applicability defined above in point 1 and 2),"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-04,3,REs Cybersecurity and cyber resilience policy review (GV.PO.S2),GV.PO.S2,All REs,Annually,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-05,4,REs Cybersecurity risk management policy (GV.PO.S4),GV.PO.S4,All REs,Annually,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-06,5,IT Committee for REs meeting periodicity (Guidelines for GV.PO – Guideline 9),GV.PO,"All REs except small-size, and self-certification REs",Quarterly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-07,6,REs’ risk assessment (threat-based) (ID.RA.S2),ID.RA.S2,MIIs,Half-yearly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-08,6,REs’ risk assessment (threat-based) (ID.RA.S2),ID.RA.S2,"Qualified, Mid-size REs",Annually,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-09,7,"User access rights, delegated access and unused tokens review (PR.AA.S5)",PR.AA.S5,MIIs and Qualified REs,Quarterly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-10,7,"User access rights, delegated access and unused tokens review (PR.AA.S5)",PR.AA.S5,Other REs,Half-yearly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-11,8,Review of privileged users’ activities (PR.AA.S11),PR.AA.S11,MIIs and Qualified REs,Quarterly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-12,8,Review of privileged users’ activities (PR.AA.S11),PR.AA.S11,Other REs,Half-yearly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-13,9,Cybersecurity training program (PR.AT.S1),PR.AT.S1,All REs,Annually,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-14,10,Review of RE’s systems managed by third-party service providers (GV.SC.S4),GV.SC.S4,MIIs and Qualified REs,Half-yearly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-15,10,Review of RE’s systems managed by third-party service providers (GV.SC.S4),GV.SC.S4,Other REs,Annually,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-16,11,Functional Efficacy of SOC (DE.CM.S1 – Guideline 4),DE.CM.S1,MIIs and Qualified REs,Half-yearly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-17,11,Functional Efficacy of SOC (DE.CM.S1 – Guideline 4),DE.CM.S1,Other REs who are utilizing third-party managed SOC or Market SOC services,Annually,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-18,12,Red Teaming exercise (DE.DP.S4),DE.DP.S4,MIIs and Qualified REs,Half-yearly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-19,13,Threat hunting (DE.DP.S5),DE.DP.S5,MIIs and Qualified REs,Quarterly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-20,14,Cybersecurity scenario-based drill exercise for testing adequacy and effectiveness of recovery plan (RC.RP.S3),RC.RP.S3,MIIs and Qualified REs,Half-yearly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-21,14,Cybersecurity scenario-based drill exercise for testing adequacy and effectiveness of recovery plan (RC.RP.S3),RC.RP.S3,Other REs,Annually,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CR-22,15,"Review of periodically and update their contingency plan, continuity of operations plan (COOP) (RS.MA.S3)",RS.MA.S3,MIIs and Qualified REs,Half-yearly,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
