source_id,target_id,rel_type,clause
CIR-2024-113,RET-24,APPLIES_TO,16
CIR-2024-113,RET-25,APPLIES_TO,16
CIR-2024-113,RET-26,APPLIES_TO,16
CIR-2024-113,RET-27,APPLIES_TO,16
CIR-2024-113,RET-28,APPLIES_TO,16
CIR-2024-113,RET-06,APPLIES_TO,16
CIR-2024-113,RET-29,APPLIES_TO,16
CIR-2024-113,RET-30,APPLIES_TO,16
CIR-2024-113,RET-09,APPLIES_TO,16
CIR-2024-113,RET-31,APPLIES_TO,16
CIR-2024-113,RET-32,APPLIES_TO,16
CIR-2024-113,RET-14,APPLIES_TO,16
CIR-2024-113,RET-16,APPLIES_TO,16
CIR-2024-113,RET-17,APPLIES_TO,16
CIR-2024-113,RET-18,APPLIES_TO,16
CIR-2024-113,RET-33,APPLIES_TO,16
CIR-2024-113,RET-34,APPLIES_TO,16
CIR-2024-113,RET-35,APPLIES_TO,16
CIR-2024-113,RET-23,APPLIES_TO,16
