supersededinstrument_id,table,regulated_entity_or_addressee,subject,circular_or_letter_number,date_of_issuance,source_document
SUP-01,Table 1,MIIs,"Cyber Security and Cyber Resilience framework of Stock Exchanges, Clearing Corporation and Depositories",CIR/MRD/DP/13/2015,"July 06, 2015","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-02,Table 1,MIIs,"Modification in Cyber Security and Cyber Resilience framework of Stock Exchanges, Clearing Corporations and Depositories",SEBI/HO/MRD1/MRD1_DTCS/P/CIR/2022/68,"May 20, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-03,Table 1,MIIs,"Modification in Cyber Security and Cyber Resilience framework for Stock Exchanges, Clearing Corporations and Depositories",SEBI/HO/MRD/TPD/P/CIR/2023/147,"August 24, 2023","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-04,Table 1,MIIs,Guidelines for MIIs regarding Cyber Security and Cyber Resilience,SEBI/HO/MRD/TPD/P/CIR/2023/146,"August 29, 2023","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-05,Table 1,Stock Brokers / Depository Participants,Cyber Security & Cyber Resilience framework for Stock Brokers / Depository Participants,SEBI/HO/MIRSD/CIR/PB/2018/147,"December 03, 2018","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-06,Table 1,Stock Brokers / Depository Participants,Clarification to Cyber Security & Cyber Resilience framework for Stock Brokers / Depository Participants,CIR/HO/MIRSD/DOS2/CIR/PB/2019/038,"March 15, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-07,Table 1,Stock Brokers / Depository Participants,Cyber Security & Cyber Resilience framework for Stock Brokers / Depository Participants – Clarifications,SEBI/HO/MIRSD/DOP/CIR/P/2019/109,"October 15, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-08,Table 1,Stock Brokers / Depository Participants,Modification in Cyber Security and Cyber resilience framework for Stock Brokers / Depository Participants,SEBI/HO/MIRSD/TPD/P/CIR/2022/80,"June 07, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-09,Table 1,Stock Brokers / Depository Participants,Modification in Cyber Security and Cyber resilience framework for Stock Brokers / Depository Participants,SEBI/HO/MIRSD/TPD/P/CIR/2022/93,"June 30, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-10,Table 1,Mutual Funds / Asset Management Companies (AMCs),Cyber Security and Cyber Resilience framework for Mutual Funds / Asset Management Companies (AMCs),SEBI/HO/IMD/DF2/CIR/P/2019/12,"January 10, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-11,Table 1,Mutual Funds / Asset Management Companies (AMCs),Modification in Cyber Security and Cyber Resilience Framework of Mutual Funds/ Asset Management Companies (AMCs),SEBI/HO/IMD/IMD-I/DOF2/P/CIR/2022/81,"June 09, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-12,Table 1,KYC Registration Agencies (KRAs),Cyber Security &Cyber Resilience framework for KYC Registration Agencies,SEBI/HO/MIRSD/DOP/CIR/P/2019/111,"October 15, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-13,Table 1,KYC Registration Agencies (KRAs),Modification in Cyber Security and Cyber resilience framework of KYC Registration Agencies(KRAs),SEBI/HO/MIRSD/DoP/P/CIR/2022/74,"May 30, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-14,Table 1,KYC Registration Agencies (KRAs),Modification in Cyber Security and Cyber resilience framework of KYC Registration Agencies (KRAs),SEBI/HO/MIRSD/TPD/P/CIR/2022/95,"July 05, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-15,Table 1,Qualified Registrars to an Issue / Share Transfer Agents (QRTAs),Cyber Security and Cyber Resilience framework for Registrars to an Issue/ Share Transfer Agents (hereinafter referred to as RTAs),SEBI/HO/MIRSD/CIR/P/2017/100,"September 08, 2017","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-16,Table 1,Qualified Registrars to an Issue / Share Transfer Agents (QRTAs),Cyber Security & Cyber Resilience framework for Qualified Registrars to an Issue / Share Transfer Agents,SEBI/HO/MIRSD/DOP/CIR/P/2019/110,"October 15, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
