standard_id,domain_id,standard_number,cybersecurity_function,cyber_resilience_goal,text,source_document
GV.OC.S1,GV.OC,1,GOVERNANCE,ANTICIPATE,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the REs shall be understood and communicated.","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
GV.OC.S2,GV.OC,2,GOVERNANCE,ANTICIPATE,"Legal and regulatory requirements regarding cybersecurity, including data protection and data privacy, shall be understood and managed.","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
GV.OC.S3,GV.OC,3,GOVERNANCE,ANTICIPATE,"REs shall understand and communicate the outcomes, capabilities, and services dependency on external resources such as third-party service providers.","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
GV.RR.S1,GV.RR,1,GOVERNANCE,ANTICIPATE,"The responsibility and accountability for cybersecurity risk lies with the REs’ leadership and the leadership is responsible for nurturing a culture that is risk-aware, cybersecurity conscious, and continually improving.","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
GV.RR.S2,GV.RR,2,GOVERNANCE,ANTICIPATE,"Cybersecurity risk management roles, responsibilities, and authorities shall be developed, communicated, understood, and enforced.","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
GV.RR.S3,GV.RR,3,GOVERNANCE,ANTICIPATE,A CISO/ Designated Officer shall be appointed and report to designated authority in the organization.,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
GV.RR.S4,GV.RR,4,GOVERNANCE,ANTICIPATE,"Budgetary planning process shall be aligned with information security and privacy management objectives and processes. Adequate resources shall be allocated and aligned with cybersecurity risk strategy, roles and responsibilities, and policies.","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
GV.RR.S5,GV.RR,5,GOVERNANCE,ANTICIPATE,Employees and third-party service providers shall be allowed access to REs’ information systems once they have signed a confidentiality and integrity agreement.,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
GV.RR.S6,GV.RR,6,GOVERNANCE,ANTICIPATE,Cybersecurity shall be included in human resources training programs.,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
GV.PO.S1,GV.PO,1,GOVERNANCE,ANTICIPATE,"A comprehensive cybersecurity and cyber resilience policy shall be documented and implemented after receiving approval from Board/ Partners/ Proprietor. The cybersecurity and cyber resilience policy shall include industry best practices, and encompass standards and guidelines mentioned in this framework.","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
