section_id,number,heading,text,source_document
SEC-1,Section 1,Title,This Act shall be known and may be cited as the “Insurance Data Security Law.”,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
SEC-2,Section 2,Purpose and Intent,,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
SEC-3,Section 3,Definitions,"As used in this Act, the following terms shall have these meanings:","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
SEC-4,Section 4,Information Security Program,,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
SEC-5,Section 5,Investigation of a Cybersecurity Event,,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
SEC-6,Section 6,Notification of a Cybersecurity Event,,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
SEC-7,Section 7,Power of Commissioner,,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
SEC-8,Section 8,Confidentiality,,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
SEC-9,Section 9,Exceptions,,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
SEC-10,Section 10,Penalties,"In the case of a violation of this Act, a Licensee may be penalized in accordance with [insert general penalty statute].","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
SEC-11,Section 11,Rules and Regulations [OPTIONAL],"The Commissioner may, in accordance with [the state statute setting forth the ability of the Department to adopt regulations] issue such regulations as shall be necessary to carry out the provisions of this Act.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
SEC-12,Section 12,Severability,"If any provisions of this Act or the application thereof to any person or circumstance is for any reason held to be invalid, the remainder of the Act and the application of such provision to other persons or circumstances shall not be affected thereby.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
SEC-13,Section 13,Effective Date,This Act shall take effect on [insert a date]. Licensees shall have one year from the effective date of this Act to implement Section 4 of this Act and two years from the effective date of this Act to implement Section 4F of this Act.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
