definition_id,section_id,letter,term,text,source_document
DEF-3A,SEC-3,A,Authorized Individual,“Authorized Individual” means an individual known to and screened by the Licensee and determined to be necessary and appropriate to have access to the Nonpublic Information held by the Licensee and its Information Systems.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DEF-3B,SEC-3,B,Commissioner,“Commissioner” means the chief insurance regulatory official of the state.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DEF-3C,SEC-3,C,Consumer,"“Consumer” means an individual, including but not limited to applicants, policyholders, insureds, beneficiaries, claimants, and certificate holders who is a resident of this State and whose Nonpublic Information is in a Licensee’s possession, custody, or control.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DEF-3D,SEC-3,D,Cybersecurity Event,"“Cybersecurity Event” means an event resulting in unauthorized access to, disruption or misuse of, an Information System or information stored on such Information System. The term “Cybersecurity Event” does not include the unauthorized acquisition of Encrypted Nonpublic Information if the encryption, process or key is not also acquired, released or used without authorization. Cybersecurity Event does not include an event with regard to which the Licensee has determined that the Nonpublic Information accessed by an unauthorized person has not been used or released and has been returned or destroyed.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DEF-3E,SEC-3,E,Department,“Department” means the [insert name of insurance regulatory body].,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DEF-3F,SEC-3,F,Encrypted,“Encrypted” means the transformation of data into a form which results in a low probability of assigning meaning without the use of a protective process or key.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DEF-3G,SEC-3,G,Information Security Program,"“Information Security Program” means the administrative, technical, and physical safeguards that a Licensee uses to access, collect, distribute, process, protect, store, use, transmit, dispose of, or otherwise handle Nonpublic Information.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DEF-3H,SEC-3,H,Information System,"“Information System” means a discrete set of electronic information resources organized for the collection, processing, maintenance, use, sharing, dissemination or disposition of electronic information, as well as any specialized system such as industrial/process controls systems, telephone switching and private branch exchange systems, and environmental control systems.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DEF-3I,SEC-3,I,Licensee,"“Licensee” means any Person licensed, authorized to operate, or registered, or required to be licensed, authorized, or registered pursuant to the insurance laws of this State but shall not include a purchasing group or a risk retention group chartered and licensed in a state other than this State or a Licensee that is acting as an assuming insurer that is domiciled in another state or jurisdiction.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DEF-3J,SEC-3,J,Multi-Factor Authentication,“Multi-Factor Authentication” means authentication through verification of at least two of the following types of authentication factors:,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DEF-3K,SEC-3,K,Nonpublic Information,“Nonpublic Information” means information that is not Publicly Available Information and is:,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DEF-3L,SEC-3,L,Person,"“Person” means any individual or any non-governmental entity, including but not limited to any non-governmental partnership, corporation, branch, agency or association.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
