draftingnote_id,attached_to,position,text,source_document
DN-1,SEC-2,Follows Section 2 (Purpose and Intent),"The drafters of this Act intend that if a Licensee, as defined in Section 3, is in compliance with N.Y. Comp. Codes R. & Regs. tit.23, § 500, Cybersecurity Requirements for Financial Services Companies, effective March 1, 2017, such Licensee is also in compliance with this Act.","NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DN-2,SEC-8,Follows Section 8 (Confidentiality),States conducting an investigation or examination under their examination law may apply the confidentiality protections of that law to such an investigation or examination.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
DN-3,SEC-11,Follows Section 11 (Rules and Regulations [OPTIONAL]),This provision is applicable only to states requiring this language.,"NAIC Insurance Data Security Model Law (Model #668), NAIC Model Laws, Regulations, Guidelines and Other Resources—4th Quarter 2017 (KB 2/USA/NAIC Insurance Data Security Model Law.pdf)"
