source_id,target_id,rel_type,part
Annex5,TBL-B1,HAS_MITIGATION_TABLE,Part B
Annex5,TBL-B2,HAS_MITIGATION_TABLE,Part B
Annex5,TBL-B3,HAS_MITIGATION_TABLE,Part B
Annex5,TBL-B4,HAS_MITIGATION_TABLE,Part B
Annex5,TBL-B5,HAS_MITIGATION_TABLE,Part B
Annex5,TBL-B6,HAS_MITIGATION_TABLE,Part B
Annex5,TBL-B7,HAS_MITIGATION_TABLE,Part B
Annex5,TBL-B8,HAS_MITIGATION_TABLE,Part B
Annex5,TBL-C1,HAS_MITIGATION_TABLE,Part C
Annex5,TBL-C2,HAS_MITIGATION_TABLE,Part C
Annex5,TBL-C3,HAS_MITIGATION_TABLE,Part C
