definition_id,regulation_id,paragraph_id,term,definition_text,source_document
DEF-2.1,UNR155,2.1,Vehicle type,"""Vehicle type"" means vehicles which do not differ in at least the following essential respects: (a) The manufacturer’s designation of the vehicle type; (b) Essential aspects of the electric/electronic architecture and external interfaces with respect to cyber security.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
DEF-2.2,UNR155,2.2,Cyber security,"""Cyber security"" means the condition in which road vehicles and their functions are protected from cyber threats to electrical or electronic components.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
DEF-2.3,UNR155,2.3,Cyber Security Management System (CSMS),"""Cyber Security Management System (CSMS)"" means a systematic risk-based approach defining organisational processes, responsibilities and governance to treat risk associated with cyber threats to vehicles and protect them from cyber- attacks.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
DEF-2.4,UNR155,2.4,System,"""System"" means a set of components and/or sub-systems that implements a function or functions.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
DEF-2.5,UNR155,2.5,Development phase,"""Development phase"" means the period before a vehicle type is type approved.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
DEF-2.6,UNR155,2.6,Production phase,"""Production phase"" refers to the duration of production of a vehicle type.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
DEF-2.7,UNR155,2.7,Post-production phase,"""Post-production phase"" refers to the period in which a vehicle type is no longer produced until the end-of-life of all vehicles under the vehicle type. Vehicles incorporating a specific vehicle type will be operational during this phase but will no longer be produced. The phase ends when there are no longer any operational vehicles of a specific vehicle type.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
DEF-2.8,UNR155,2.8,Mitigation,"""Mitigation"" means a measure that is reducing risk.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
DEF-2.9,UNR155,2.9,Risk,"""Risk"" means the potential that a given threat will exploit vulnerabilities of a vehicle and thereby cause harm to the organization or to an individual.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
DEF-2.10,UNR155,2.10,Risk Assessment,"""Risk Assessment"" means the overall process of finding, recognizing and describing risks (risk identification), to comprehend the nature of risk and to determine the level of risk (risk analysis), and of comparing the results of risk analysis with risk criteria to determine whether the risk and/or its magnitude is acceptable or tolerable (risk evaluation).",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
DEF-2.11,UNR155,2.11,Risk Management,"""Risk Management"" means coordinated activities to direct and control an organization with regard to risk.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
DEF-2.12,UNR155,2.12,Threat,"""Threat"" means a potential cause of an unwanted incident, which may result in harm to a system, organization or individual.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
DEF-2.13,UNR155,2.13,Vulnerability,"""Vulnerability"" means a weakness of an asset or mitigation that can be exploited by one or more threats.",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
