threat_id,threatcategory_id,annex_id,part,number,description,source_document
T-1,TC-4.3.1,Annex5,Part A,1,Back-end servers used as a means to attack a vehicle or extract data,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-2,TC-4.3.1,Annex5,Part A,2,"Services from back-end server being disrupted, affecting the operation of a vehicle",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-3,TC-4.3.1,Annex5,Part A,3,"Vehicle related data held on back-end servers being lost or compromised (""data breach"")",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-4,TC-4.3.2,Annex5,Part A,4,Spoofing of messages or data received by the vehicle,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-5,TC-4.3.2,Annex5,Part A,5,"Communication channels used to conduct unauthorized manipulation, deletion or other amendments to vehicle held code/data",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-6,TC-4.3.2,Annex5,Part A,6,Communication channels permit untrusted/unreliable messages to be accepted or are vulnerable to session hijacking/replay attacks,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-7,TC-4.3.2,Annex5,Part A,7,"Information can be readily disclosed. For example, through eavesdropping on communications or through allowing unauthorized access to sensitive files or folders",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-8,TC-4.3.2,Annex5,Part A,8,Denial of service attacks via communication channels to disrupt vehicle functions,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-9,TC-4.3.2,Annex5,Part A,9,An unprivileged user is able to gain privileged access to vehicle systems,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-10,TC-4.3.2,Annex5,Part A,10,Viruses embedded in communication media are able to infect vehicle systems,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
