source_id,target_id,rel_type,letter
2.1,2.1(a),HAS_ITEM,a
2.1,2.1(b),HAS_ITEM,b
3.3,3.3(a),HAS_ITEM,a
3.3,3.3(b),HAS_ITEM,b
5.1.1,5.1.1(a),HAS_ITEM,a
5.1.1,5.1.1(b),HAS_ITEM,b
5.1.1,5.1.1(c),HAS_ITEM,c
5.1.1,5.1.1(d),HAS_ITEM,d
5.1.1,5.1.1(e),HAS_ITEM,e
5.1.3,5.1.3(a),HAS_ITEM,a
5.1.3,5.1.3(b),HAS_ITEM,b
5.1.3,5.1.3(c),HAS_ITEM,c
5.1.3,5.1.3(d),HAS_ITEM,d
5.3.1,5.3.1(a),HAS_ITEM,a
5.3.1,5.3.1(b),HAS_ITEM,b
5.3.2,5.3.2(a),HAS_ITEM,a
5.3.2,5.3.2(b),HAS_ITEM,b
7.2.2.1,7.2.2.1(a),HAS_ITEM,a
7.2.2.1,7.2.2.1(b),HAS_ITEM,b
7.2.2.1,7.2.2.1(c),HAS_ITEM,c
7.2.2.2,7.2.2.2(a),HAS_ITEM,a
7.2.2.2,7.2.2.2(b),HAS_ITEM,b
7.2.2.2,7.2.2.2(c),HAS_ITEM,c
7.2.2.2,7.2.2.2(d),HAS_ITEM,d
7.2.2.2,7.2.2.2(e),HAS_ITEM,e
7.2.2.2,7.2.2.2(f),HAS_ITEM,f
7.2.2.2,7.2.2.2(g),HAS_ITEM,g
7.2.2.2,7.2.2.2(h),HAS_ITEM,h
7.3.7,7.3.7(a),HAS_ITEM,a
7.3.7,7.3.7(b),HAS_ITEM,b
7.3.7,7.3.7(c),HAS_ITEM,c
