source_id,target_id,rel_type,clause_number
art_2,art_2_1,HAS_CLAUSE,1
art_2,art_2_2,HAS_CLAUSE,2
art_4,art_4_1,HAS_CLAUSE,1
art_4,art_4_2,HAS_CLAUSE,2
art_4,art_4_3,HAS_CLAUSE,3
art_4,art_4_4,HAS_CLAUSE,4
art_4,art_4_5,HAS_CLAUSE,5
art_4,art_4_6,HAS_CLAUSE,6
art_4,art_4_7,HAS_CLAUSE,7
art_4,art_4_8,HAS_CLAUSE,8
art_4,art_4_9,HAS_CLAUSE,9
art_4,art_4_10,HAS_CLAUSE,10
art_4,art_4_11,HAS_CLAUSE,11
art_5,art_5_1,HAS_CLAUSE,1
art_5,art_5_2,HAS_CLAUSE,2
art_5,art_5_3,HAS_CLAUSE,3
art_5,art_5_4,HAS_CLAUSE,4
art_5,art_5_5,HAS_CLAUSE,5
art_5,art_5_6,HAS_CLAUSE,6
art_5,art_5_7,HAS_CLAUSE,7
art_5,art_5_8,HAS_CLAUSE,8
art_6,art_6_1,HAS_CLAUSE,1
art_6,art_6_2,HAS_CLAUSE,2
art_7,art_7_1,HAS_CLAUSE,1
art_7,art_7_2,HAS_CLAUSE,2
art_7,art_7_3,HAS_CLAUSE,3
art_7,art_7_4,HAS_CLAUSE,4
art_7,art_7_5,HAS_CLAUSE,5
art_7,art_7_6,HAS_CLAUSE,6
art_7,art_7_7,HAS_CLAUSE,7
art_8,art_8_1,HAS_CLAUSE,1
art_8,art_8_2,HAS_CLAUSE,2
art_8,art_8_3,HAS_CLAUSE,3
art_8,art_8_4,HAS_CLAUSE,4
art_8,art_8_5,HAS_CLAUSE,5
art_8,art_8_6,HAS_CLAUSE,6
art_8,art_8_7,HAS_CLAUSE,7
art_8,art_8_8,HAS_CLAUSE,8
art_8,art_8_9,HAS_CLAUSE,9
art_8,art_8_10,HAS_CLAUSE,10
art_8,art_8_11,HAS_CLAUSE,11
art_9,art_9_1,HAS_CLAUSE,1
art_9,art_9_2,HAS_CLAUSE,2
art_9,art_9_3,HAS_CLAUSE,3
art_9,art_9_4,HAS_CLAUSE,4
art_10,art_10_1,HAS_CLAUSE,1
art_10,art_10_2,HAS_CLAUSE,2
art_10,art_10_3,HAS_CLAUSE,3
art_10,art_10_4,HAS_CLAUSE,4
art_11,art_11_1,HAS_CLAUSE,1
art_11,art_11_2,HAS_CLAUSE,2
art_12,art_12_1,HAS_CLAUSE,1
art_12,art_12_2,HAS_CLAUSE,2
art_13,art_13_1,HAS_CLAUSE,1
art_13,art_13_2,HAS_CLAUSE,2
art_13,art_13_3,HAS_CLAUSE,3
art_14,art_14_1,HAS_CLAUSE,1
art_14,art_14_2,HAS_CLAUSE,2
art_15,art_15_1,HAS_CLAUSE,1
art_15,art_15_2,HAS_CLAUSE,2
art_15,art_15_3,HAS_CLAUSE,3
art_16,art_16_1,HAS_CLAUSE,1
art_16,art_16_2,HAS_CLAUSE,2
art_16,art_16_3,HAS_CLAUSE,3
art_16,art_16_4,HAS_CLAUSE,4
art_17,art_17_1,HAS_CLAUSE,1
art_17,art_17_2,HAS_CLAUSE,2
art_17,art_17_3,HAS_CLAUSE,3
art_18,art_18_1,HAS_CLAUSE,1
art_18,art_18_2,HAS_CLAUSE,2
art_18,art_18_3,HAS_CLAUSE,3
art_18,art_18_4,HAS_CLAUSE,4
art_20,art_20_1,HAS_CLAUSE,1
art_20,art_20_2,HAS_CLAUSE,2
art_21,art_21_1,HAS_CLAUSE,1
art_21,art_21_2,HAS_CLAUSE,2
art_21,art_21_3,HAS_CLAUSE,3
art_21,art_21_4,HAS_CLAUSE,4
art_21,art_21_5,HAS_CLAUSE,5
art_21,art_21_6,HAS_CLAUSE,6
art_21,art_21_7,HAS_CLAUSE,7
art_22,art_22_1,HAS_CLAUSE,1
art_22,art_22_2,HAS_CLAUSE,2
art_23,art_23_1,HAS_CLAUSE,1
art_23,art_23_2,HAS_CLAUSE,2
art_24,art_24_1,HAS_CLAUSE,1
art_24,art_24_2,HAS_CLAUSE,2
art_24,art_24_3,HAS_CLAUSE,3
