source_id,target_id,rel_type,order
UAE_PDPL_45_2021,art_1,HAS_ARTICLE,1
UAE_PDPL_45_2021,art_2,HAS_ARTICLE,2
UAE_PDPL_45_2021,art_3,HAS_ARTICLE,3
UAE_PDPL_45_2021,art_4,HAS_ARTICLE,4
UAE_PDPL_45_2021,art_5,HAS_ARTICLE,5
UAE_PDPL_45_2021,art_6,HAS_ARTICLE,6
UAE_PDPL_45_2021,art_7,HAS_ARTICLE,7
UAE_PDPL_45_2021,art_8,HAS_ARTICLE,8
UAE_PDPL_45_2021,art_9,HAS_ARTICLE,9
UAE_PDPL_45_2021,art_10,HAS_ARTICLE,10
UAE_PDPL_45_2021,art_11,HAS_ARTICLE,11
UAE_PDPL_45_2021,art_12,HAS_ARTICLE,12
UAE_PDPL_45_2021,art_13,HAS_ARTICLE,13
UAE_PDPL_45_2021,art_14,HAS_ARTICLE,14
UAE_PDPL_45_2021,art_15,HAS_ARTICLE,15
UAE_PDPL_45_2021,art_16,HAS_ARTICLE,16
UAE_PDPL_45_2021,art_17,HAS_ARTICLE,17
UAE_PDPL_45_2021,art_18,HAS_ARTICLE,18
UAE_PDPL_45_2021,art_19,HAS_ARTICLE,19
UAE_PDPL_45_2021,art_20,HAS_ARTICLE,20
UAE_PDPL_45_2021,art_21,HAS_ARTICLE,21
UAE_PDPL_45_2021,art_22,HAS_ARTICLE,22
UAE_PDPL_45_2021,art_23,HAS_ARTICLE,23
UAE_PDPL_45_2021,art_24,HAS_ARTICLE,24
UAE_PDPL_45_2021,art_25,HAS_ARTICLE,25
UAE_PDPL_45_2021,art_26,HAS_ARTICLE,26
UAE_PDPL_45_2021,art_27,HAS_ARTICLE,27
UAE_PDPL_45_2021,art_28,HAS_ARTICLE,28
UAE_PDPL_45_2021,art_29,HAS_ARTICLE,29
UAE_PDPL_45_2021,art_30,HAS_ARTICLE,30
UAE_PDPL_45_2021,art_31,HAS_ARTICLE,31
