subclause_id,clause_id,article_id,item_label,subclause_text,citation,source_document
art_2_1_a,art_2_1,art_2,a,Each Data Subject residing in the State or having a place of business in it.,Article (2)(1)(a),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_2_1_b,art_2_1,art_2,b,Each Controller or Processor residing in the State and carrying out the activities of processing Personal Data of Data Subjects inside and outside the State.,Article (2)(1)(b),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_2_1_c,art_2_1,art_2,c,Each Controller or Processor residing outside the State and carrying out the activities of processing Personal Data of Data Subjects inside the State.,Article (2)(1)(c),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_2_2_a,art_2_2,art_2,a,Government Data,Article (2)(2)(a),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_2_2_b,art_2_2,art_2,b,Governmental entities which control or process Personal Data.,Article (2)(2)(b),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_2_2_c,art_2_2,art_2,c,Personal Data held by the security and judicial authorities,Article (2)(2)(c),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_2_2_d,art_2_2,art_2,d,A Data Subject who processes his/her data for personal purposes.,Article (2)(2)(d),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_2_2_e,art_2_2,art_2,e,Personal Health Data that has legislation regulating its protection and processing.,Article (2)(2)(e),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_2_2_f,art_2_2,art_2,f,Personal banking and credit data and information that have legislation regulating their protection and processing.,Article (2)(2)(f),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_2_2_g,art_2_2,art_2,g,Companies and establishments located in free zones in the Country and have special legislations regarding Personal Data protection.,Article (2)(2)(g),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_6_1_a,art_6_1,art_6,a,The Controller shall be able to prove the consent of the Data Subject in the event that the processing of Personal Data is based on the consent of the Data Subject.,Article (6)(1)(a),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_6_1_b,art_6_1,art_6,b,"The Consent shall be prepared in a clear, simple, unambiguous and easily accessible manner, whether in writing or electronically.",Article (6)(1)(b),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_6_1_c,art_6_1,art_6,c,The Consent shall include the Data Subject's right to withdraw it easily.,Article (6)(1)(c),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
art_9_1_a,art_9_1,art_9,a,"A description of the nature of the breach or violation, its form, causes, approximate number and records.",Article (9)(1)(a),KB 2/UAE/Federal Decree by Law No. (45) of 2021 Concerning the Protection of Personal Data.pdf
